"msa","empirical","homo","power","exp"
"Houston",1837,1902.11374291171,9952.28480724565,1201.89923410153
"Houston",1950,1902.08251224438,11464.5275674308,1346.55735486084
"Houston",6764,1900.7520305409,34239.3836400093,3631.94041893459
"Houston",2734,1901.86583221623,10156.5172981375,1106.19192358277
"Houston",2352,1901.97140845444,10228.7591461682,1106.49812598317
"Houston",882,1902.37768350722,6481.79708532717,694.826890741467
"Houston",1766,1902.13336572038,7547.32942773778,812.54077945529
"Houston",1011,1902.34203079851,9327.02947247743,1076.17300908153
"Houston",2125,1902.03414616667,13983.4723383824,1549.29935479455
"Houston",2407,1901.95620768715,26577.9996980926,2808.96782045889
"Houston",1193,1902.29173007769,11213.3555362889,1299.12720391691
"Houston",1340,1902.25110257241,16103.8019481264,1853.48707612601
"Houston",1864,1902.10628071686,11443.403235226,1287.35377039727
"Houston",3504,1901.65302147429,21959.7450048199,2390.20384979911
"Houston",2199,1902.01369422524,19202.837553347,2205.99867833052
"Houston",3002,1901.79176302293,31273.2097898803,3450.48802330755
"Houston",844,1902.38818585553,26844.5291248495,2851.16935020289
"Houston",2940,1901.80889843332,18568.0802735255,2128.39787061047
"Houston",5031,1901.23099289905,34209.3207999061,3861.57738239409
"Houston",1084,1902.32185523466,16669.0887378796,1905.19796195239
"Houston",4165,1901.47033588933,53339.2467289636,5751.09799883418
"Houston",2462,1901.94100691987,27071.136358036,3064.01349918317
"Houston",2408,1901.95593130957,28319.3448212091,3136.99568721304
"Houston",5642,1901.06212619343,39696.1862664494,4282.58985271761
"Houston",3477,1901.66048366914,24192.3492367453,2669.27704216789
"Houston",1542,1902.19527429985,13438.9798321269,1552.62712743717
"Houston",1565,1902.18891761535,6965.02766681435,825.585474858495
"Houston",2218,1902.00844305108,16860.8298462192,1907.86987776125
"Houston",4617,1901.34541322004,9452.35479084345,1090.4625783574
"Houston",2566,1901.91226365083,8762.29315784846,971.309289212973
"Houston",1660,1902.16266174459,26977.1408175178,2827.88643815017
"Houston",1403,1902.23369078443,16241.1611553851,1804.7090137814
"Houston",5103,1901.21109371279,25313.4479544198,2791.84578369079
"Houston",1400,1902.23451991719,14541.7057455067,1667.49511415156
"Houston",4737,1901.31224790961,46189.7780820506,4911.88952435652
"Houston",2844,1901.83543068167,17560.4284633376,1948.93876330522
"Houston",2331,1901.97721238376,21414.317345586,2467.02962176834
"Houston",2527,1901.92304237672,15823.077024484,1885.97723129961
"Houston",1443,1902.22263568096,21430.8075464045,2354.04660429617
"Houston",2624,1901.89623375079,8964.07204490635,995.152068840698
"Houston",3233,1901.72791980035,21957.6882934363,2287.11978580468
"Houston",1807,1902.12203423931,24082.2542471175,2693.11682697528
"Houston",5114,1901.20805355933,38489.3351672739,4095.41000584055
"Houston",2098,1902.04160836152,34121.2633076029,3760.87856351505
"Houston",1952,1902.08195948921,15013.1778260254,1864.41686795021
"Houston",2613,1901.89927390425,18069.0602658092,2077.8956817934
"Houston",1676,1902.1582397032,20374.1412895787,2250.26251775525
"Houston",3723,1901.59249478275,18542.2699429767,2192.98158907807
"Houston",593,1902.45755662985,21299.1037944892,2416.57438093785
"Houston",3023,1901.78595909361,13164.1975542756,1556.46246403875
"Houston",2860,1901.83100864027,34347.6111785044,3567.93645311592
"Houston",17065,1897.90506501792,69124.1026940012,7315.63483221284
"Houston",8675,1900.22387297227,63202.3239049483,6748.89815179194
"Houston",1267,1902.27127813626,18179.337301068,1935.05602501005
"Houston",991,1902.34755835025,13823.8864753826,1566.06940697908
"Houston",4324,1901.42639185301,31032.7247811537,3377.50866341222
"Houston",3573,1901.63395142079,22023.3050281847,2433.62805330766
"Houston",4021,1901.51013426185,24073.1151219159,2748.91321839549
"Houston",4560,1901.36116674249,39558.7184504489,4567.89522558193
"Houston",2927,1901.81249134195,68791.1192692296,7350.52550141225
"Houston",2779,1901.85339522482,44093.2899655355,4729.43100868087
"Houston",2541,1901.91917309051,27344.0007206273,3033.00565908818
"Houston",1207,1902.28786079147,47274.3814257824,4998.75090372609
"Houston",5841,1901.00712705363,31889.1041187003,3889.36115047019
"Houston",3399,1901.68204112092,26807.007009095,3387.93463543661
"Houston",1900,1902.09633112373,106343.679956719,10814.7137183245
"Houston",2185,1902.01756351145,43098.2390618804,5116.78227187464
"Houston",1656,1902.16376725494,11951.4194745289,1305.18590302071
"Houston",2091,1902.04354300462,12632.210176626,1491.93145960436
"Houston",2777,1901.85394797999,26418.2587917589,2925.98199356385
"Houston",808,1902.39813544866,15131.5282212186,1675.66977779133
"Houston",3289,1901.71244265548,24651.9576145329,2676.11168911225
"Houston",2887,1901.82354644543,25657.4476263651,2744.30632672149
"Houston",1421,1902.22871598787,17815.8704128772,1998.48400366355
"Houston",3070,1901.77296934702,23962.3208153611,2525.17550168612
"Houston",2539,1901.91972584568,19562.7071959499,2177.49207208151
"Houston",970,1902.35336227957,11820.3247422336,1420.20246594212
"Houston",1579,1902.18504832913,10636.8567419502,1311.78964664157
"Houston",2125,1902.03414616667,26528.9308286285,2989.44235095191
"Houston",2302,1901.98522733378,29868.8789890539,3321.92363586205
"Houston",2917,1901.81525511782,31316.1910622596,3355.3839696846
"Houston",3028,1901.78457720567,19791.3104044041,2110.34309500481
"Houston",2933,1901.81083307643,17131.7777758982,1989.95794770681
"Houston",1426,1902.22733409993,13265.5533882929,1600.04905314451
"Houston",1428,1902.22678134476,12550.5678315373,1395.22351660836
"Houston",1959,1902.0800248461,21714.7513199992,2518.71316003686
"Houston",1576,1902.18587746189,5363.7804630623,688.604476492157
"Houston",1952,1902.08195948921,30145.6871764818,3262.85039404014
"Houston",3458,1901.66573484329,24119.4116113349,2619.32642960067
"Houston",772,1902.40808504179,17092.1126637317,1887.95081122984
"Houston",718,1902.42300943148,3877.42545190157,506.623400240914
"Houston",1094,1902.31909145879,28392.6788874127,3074.2695009989
"Houston",2365,1901.96781554581,25006.1334543681,2782.73986126536
"Houston",1578,1902.18532470672,13752.1083141225,1704.4878617837
"Houston",3822,1901.56513340165,28143.4845845179,3058.73880700626
"Houston",884,1902.37713075205,24220.2199221665,2598.74564249146
"Houston",2582,1901.90784160944,9640.00665293821,1080.45226641767
"Houston",0,1902.6214485389,15214.2056230327,1663.03326385764
"Houston",2369,1901.96671003546,16306.8226254173,1899.12506080048
"Houston",1802,1902.12341612725,11201.1394795772,1278.14276880015
"Houston",2798,1901.84814405066,26706.7881127258,2866.39534918161
"Houston",1774,1902.13115469968,9864.55719968404,1203.20398252317
"Houston",2879,1901.82575746612,27118.0072977806,3070.15797257488
"Houston",1176,1902.29642849667,13716.5683562826,1558.36354722666
"Houston",496,1902.48436525578,17228.548611823,1925.14595273405
"Houston",2177,1902.01977453215,24528.742568462,2578.68586245915
"Houston",1171,1902.2978103846,13848.2413430499,1565.84558757781
"Houston",702,1902.42743147287,15820.6348868382,1725.1529833935
"Houston",1236,1902.27984584145,26021.6459294162,2835.41463487546
"Houston",2862,1901.8304558851,28239.3253867693,3055.59301475534
"Houston",1975,1902.07560280471,6565.03846030767,765.850190729269
"Houston",1418,1902.22954512063,17376.960698419,1856.77451056866
"Houston",1893,1902.09826576684,24084.2694876374,2515.52430891853
"Houston",2010,1902.06592958917,10798.5946443616,1173.001818772
"Houston",2433,1901.94902186989,23623.729274527,2543.36972604637
"Houston",1918,1902.09135632716,16917.7608302196,1839.44452929547
"Houston",3356,1901.69392535716,20364.6155668166,2203.85935578083
"Houston",2011,1902.06565321158,16122.7540096753,1804.90292748114
"Houston",2059,1902.05238708741,14117.2581205356,1552.54333416468
"Houston",2905,1901.81857164886,16336.6723281031,1768.07442289424
"Houston",4796,1901.29594163198,17232.8689900976,1808.05934661355
"Houston",2186,1902.01728713387,15424.344105004,1630.59527254425
"Houston",1633,1902.17012393944,6553.93525344369,811.259501830131
"Houston",1857,1902.10821535997,10177.5976688144,1214.24903176133
"Houston",1478,1902.21296246541,24426.4576650652,2717.61688129887
"Houston",2307,1901.98384544585,14813.0865119331,1641.14702674684
"Houston",663,1902.43821019876,8296.15526738635,943.900502083384
"Houston",1795,1902.12535077036,16266.7986989037,1741.92670327788
"Houston",2311,1901.9827399355,13054.2095645089,1420.58426009079
"Houston",1941,1902.08499964266,17931.7802944974,1981.65182366517
"Houston",2150,1902.027236727,36657.3655814187,3957.81803635689
"Houston",1805,1902.12258699449,20665.3854834368,2333.54266689083
"Houston",1253,1902.27514742247,14614.1019901538,1582.88817315998
"Houston",2415,1901.95399666646,13066.6801345889,1585.34375494877
"Houston",3550,1901.64030810529,18105.7887269131,1965.44020821524
"Houston",2017,1902.06399494606,14100.2634368429,1551.47889949302
"Houston",3621,1901.62068529662,18470.9435640083,2042.14861917031
"Houston",2462,1901.94100691987,27704.134608206,2830.17863473045
"Houston",2627,1901.89540461803,27242.486119197,2860.67902426428
"Houston",3033,1901.78319531774,17829.3122325102,1925.56466431227
"Houston",1546,1902.1941687895,9602.58046314781,1059.74001713728
"Houston",1895,1902.09771301166,43153.2399649742,4834.1512828098
"Houston",796,1902.4014519797,11005.7522696394,1327.80467721937
"Houston",1846,1902.11125551342,25250.7531874435,3092.97457636949
"Houston",3210,1901.73427648485,5093.62808880297,637.664046512204
"Houston",439,1902.50011877823,6586.16464377709,685.259754954012
"Houston",840,1902.38929136588,6939.78827967886,764.137114963285
"Houston",1933,1902.08721066336,7703.34798706482,814.970368812729
"Houston",1193,1902.29173007769,8283.68917659624,945.202003583916
"Houston",1240,1902.2787403311,6094.84008957356,739.160801000123
"Houston",1918,1902.09135632716,13450.3809873786,1389.8661150794
"Houston",1130,1902.30914186567,10654.5355138157,1100.25761827466
"Houston",2201,1902.01314147006,10319.5000379289,1099.64580366033
"Houston",1554,1902.19195776881,10474.0808552178,1133.68839236576
"Houston",2209,1902.01093044937,22945.0757553317,2615.20325154196
"Houston",1650,1902.16542552046,12179.7890883084,1319.8160009442
"Houston",18518,1897.50348838411,104007.200402092,10874.5968592105
"Houston",308,1902.53632424212,31833.0363844196,3400.60916969468
"Houston",5278,1901.16272763508,94457.5889235324,9914.97876025247
"Houston",1662,1902.16210898942,34248.2337734257,4300.88908468398
"Houston",1667,1902.16072710148,14971.8145893669,2096.88330255189
"Houston",1156,1902.3019560484,19305.9097808336,2043.44005608746
"Houston",2528,1901.92276599914,18862.893372763,2205.13094838107
"Houston",3145,1901.752241028,14914.5159562921,1597.84552704658
"Houston",6655,1900.78215569787,119990.235713721,12454.2807761222
"Houston",2819,1901.84234012134,81091.6557676078,8390.25607812049
"Houston",3479,1901.65993091396,35979.1765296334,4344.33636002086
"Houston",502,1902.48270699026,30446.953307484,3417.5408205474
"Houston",522,1902.47717943852,26340.19134339,2879.9918051534
"Houston",888,1902.3760252417,15429.7262573673,1798.6443777619
"Houston",6056,1900.94770587244,24534.7267863204,2585.44403981248
"Houston",1035,1902.33539773642,17862.7892579702,1893.99111731894
"Houston",2154,1902.02613121665,30718.599747829,3263.10888662112
"Houston",2055,1902.05349259775,10915.6476112889,1348.67407355951
"Houston",1635,1902.16957118427,19130.8750238564,2148.27577192158
"Houston",3937,1901.53334997915,17881.9976242509,2089.79767042329
"Houston",1868,1902.10517520651,28016.28430851,2993.83699677398
"Houston",2574,1901.91005263014,10450.8109080003,1199.78083192086
"Houston",738,1902.41748187974,25350.7684313201,2760.11960456012
