"msa","empirical","homo","power","exp"
"Seattle",1614,1457.73630938586,9581.64345753629,1004.57119252557
"Seattle",1896,1457.63007875218,10810.6481099147,1146.31702854613
"Seattle",2211,1457.51141687413,11292.135317851,1180.19656916833
"Seattle",1869,1457.6402497703,8898.13654337109,933.320108817077
"Seattle",864,1458.01883766694,9836.66492843516,1454.32039294534
"Seattle",1463,1457.79319174645,14642.0425355767,1675.62971544776
"Seattle",832,1458.03089220693,11427.5075861356,1316.82893150158
"Seattle",445,1458.17667679997,8484.31111676534,998.130906296466
"Seattle",1641,1457.72613836774,10615.5031806614,1116.64122759171
"Seattle",1227,1457.8820939789,9033.23515009219,915.863359470991
"Seattle",1428,1457.80637639957,11984.1823343234,1202.52995147711
"Seattle",2106,1457.55097083348,16023.3856512261,1684.93320036235
"Seattle",1311,1457.85045081142,8496.06212220662,914.068457287898
"Seattle",1706,1457.70165258338,9918.50846552013,1097.59117737297
"Seattle",1459,1457.79469856395,10942.8781771337,1256.88418341339
"Seattle",2255,1457.49484188164,12461.1319639387,1301.93386010579
"Seattle",1155,1457.90921669388,8708.1627864053,916.202639065503
"Seattle",541,1458.14051317999,11209.617023475,1223.26692907423
"Seattle",1591,1457.74497358648,7283.18248545514,781.978642713775
"Seattle",1452,1457.79733549458,8904.39079076217,1073.82833842703
"Seattle",848,1458.02486493694,9529.45832008895,980.545882140284
"Seattle",1245,1457.87531330015,12522.1353263821,1302.04809924361
"Seattle",3336,1457.08762445251,10573.9686201641,1143.56369590492
"Seattle",1164,1457.90582635451,11083.1605732578,1183.30310477138
"Seattle",2487,1457.40744646669,11525.5790134009,1193.15414439131
"Seattle",908,1458.00226267445,4605.46206130239,533.303554484806
"Seattle",1880,1457.63610602217,12495.7108282164,1337.14712596846
"Seattle",882,1458.01205698819,10070.6979558605,1123.86811076558
"Seattle",1413,1457.81202696519,13990.4981407049,1472.63801726541
"Seattle",1305,1457.85271103767,9666.22428998164,1052.46994049222
"Seattle",1266,1457.86740250828,18347.2646664806,1899.74921565484
"Seattle",1557,1457.75778153523,4884.55632123026,574.350870405984
"Seattle",1558,1457.75740483085,10562.3290794527,1166.46780353377
"Seattle",1317,1457.84819058517,15635.3770594655,1562.69904894504
"Seattle",280,1458.23883302181,31524.5194699938,3429.40644390762
"Seattle",1210,1457.88849795327,8318.62478860836,854.923109261396
"Seattle",1508,1457.77624004959,15090.1107748063,1597.61523512914
"Seattle",901,1458.00489960507,11824.0658621209,1333.95960991508
"Seattle",1350,1457.8357593408,7679.89099239811,864.565777236293
"Seattle",1289,1457.85873830766,12020.3201176014,1273.27943757179
"Seattle",800,1458.04294674693,12040.4594348335,1294.01270135068
"Seattle",824,1458.03390584193,9854.73795288267,951.270810899494
"Seattle",1909,1457.62518159531,8524.16193202595,916.128122107623
"Seattle",1312,1457.85007410704,14263.4329243976,1482.94751689662
"Seattle",1586,1457.74685710836,7172.11445938223,771.734766736454
"Seattle",1329,1457.84367013267,10961.3236846768,1200.22259909451
"Seattle",1501,1457.77887698021,9048.63297656795,1073.46093038605
"Seattle",994,1457.96986609822,12530.1185097853,1238.46774801679
"Seattle",1123,1457.92127123388,16613.5071329099,1643.79569442309
"Seattle",1923,1457.61990773406,14926.1106311405,1585.32195446282
"Seattle",1463,1457.79319174645,15801.1875139464,1594.63680174697
"Seattle",2728,1457.31666071237,10755.2985153,1172.59469113834
"Seattle",2610,1457.36111182859,22932.4934879562,2338.63397219711
"Seattle",944,1457.98870131696,5688.08846622355,620.925593494748
"Seattle",775,1458.0523643563,11435.987605941,1227.34639815134
"Seattle",1872,1457.63911965717,15074.1493539241,1630.5209652034
"Seattle",1309,1457.85120422017,11393.2140762329,1192.98583575368
"Seattle",1715,1457.69826224401,12337.0694978566,1363.08629830534
"Seattle",1229,1457.88134057015,11562.0207344983,1201.46004247614
"Seattle",1941,1457.61312705531,12718.5287535992,1380.90607019692
