"msa","county","nblock","lag.max","lag","nozero","pop.adj","area.adj","pop","area"
"Atlanta","13117",108,12,12,18,31954,92037643.660954,228383,640192543.405307
"Boston","25025",646,21,1,3950,4837541,5518660700.86051,796605,310836427.143774
"Boston","25025",646,21,2,10066,12550740,13580082090.2849,796605,310836427.143774
"Boston","25025",646,21,3,18784,23392214,17302647324.8982,796605,310836427.143774
"Boston","25025",646,21,4,27672,34172980,18812511327.3245,796605,310836427.143774
"Boston","25025",646,21,5,34724,42818316,20283559284.7612,796605,310836427.143774
"Boston","25025",646,21,6,39852,49179675,18630779208.8785,796605,310836427.143774
"Boston","25025",646,21,7,42004,51874755,17219087735.3225,796605,310836427.143774
"Boston","25025",646,21,8,42432,52469298,17704005256.0798,796605,310836427.143774
"Boston","25025",646,21,9,42148,52187403,16481733786.5224,796605,310836427.143774
"Boston","25025",646,21,10,39344,48542609,13538413551.2663,796605,310836427.143774
"Boston","25025",646,21,11,33310,40837208,10523566054.4531,796605,310836427.143774
"Boston","25025",646,21,12,25502,31359131,8879440949.14642,796605,310836427.143774
"Boston","25025",646,21,13,19332,23982923,8104342858.63627,796605,310836427.143774
"Boston","25025",646,21,14,14596,17868859,5768137190.13985,796605,310836427.143774
"Boston","25025",646,21,15,10146,12430723,3965780372.93266,796605,310836427.143774
"Boston","25025",646,21,16,6296,7679139,2083395802.70403,796605,310836427.143774
"Boston","25025",646,21,17,3698,4412512,1173046561.43586,796605,310836427.143774
"Boston","25025",646,21,18,1828,2180237,591874987.582129,796605,310836427.143774
"Boston","25025",646,21,19,698,761727,232897610.579119,796605,310836427.143774
"Boston","25025",646,21,20,256,246303,87059659.1835058,796605,310836427.143774
"Boston","25025",646,21,21,32,25932,8473194.74232208,796605,310836427.143774
"Boston","25017",1133,29,1,6902,10066018,14065993697.979,1600842,2190063770.53994
"Boston","25017",1133,29,2,16012,23115641,32815068405.5629,1600842,2190063770.53994
"Boston","25017",1133,29,3,26648,38017542,53633290868.904,1600842,2190063770.53994
"Boston","25017",1133,29,4,37548,53140076,74126559321.1682,1600842,2190063770.53994
"Boston","25017",1133,29,5,47992,67654098,94522555381.4044,1600842,2190063770.53994
"Boston","25017",1133,29,6,58082,81752917,114552901809.949,1600842,2190063770.53994
"Boston","25017",1133,29,7,66814,94087550,132208450164.169,1600842,2190063770.53994
"Boston","25017",1133,29,8,74702,104965864,147959780218.244,1600842,2190063770.53994
"Boston","25017",1133,29,9,81074,114149748,161092483823.508,1600842,2190063770.53994
"Boston","25017",1133,29,10,86092,121108266,168453471711.036,1600842,2190063770.53994
"Boston","25017",1133,29,11,89266,125664583,170779624086.671,1600842,2190063770.53994
"Boston","25017",1133,29,12,90760,127584848,170020299505.972,1600842,2190063770.53994
"Boston","25017",1133,29,13,89398,125324348,166528818281.385,1600842,2190063770.53994
"Boston","25017",1133,29,14,85696,120386107,161494665193.911,1600842,2190063770.53994
"Boston","25017",1133,29,15,80608,113272969,153546241806.931,1600842,2190063770.53994
"Boston","25017",1133,29,16,73018,102443882,140446689157.802,1600842,2190063770.53994
"Boston","25017",1133,29,17,63982,90031247,124724090451.086,1600842,2190063770.53994
"Boston","25017",1133,29,18,54122,76577901,103794982617.879,1600842,2190063770.53994
"Boston","25017",1133,29,19,44554,63407832,83802992388.448,1600842,2190063770.53994
"Boston","25017",1133,29,20,35316,50650377,65414149435.1105,1600842,2190063770.53994
"Boston","25017",1133,29,21,26404,38378729,48433382088.1348,1600842,2190063770.53994
"Boston","25017",1133,29,22,18814,27642455,35344307676.974,1600842,2190063770.53994
"Boston","25017",1133,29,23,12808,18950630,25392787207.4886,1600842,2190063770.53994
"Boston","25017",1133,29,24,8014,11967835,17195750039.7479,1600842,2190063770.53994
"Boston","25017",1133,29,25,4530,6784259,10323717319.174,1600842,2190063770.53994
"Boston","25017",1133,29,26,2258,3376816,5487269334.50307,1600842,2190063770.53994
"Boston","25017",1133,29,27,900,1330717,2401668375.40357,1600842,2190063770.53994
"Boston","25017",1133,29,28,218,293271,537918541.70332,1600842,2190063770.53994
"Boston","25017",1133,29,29,24,26618,52279340.968888,1600842,2190063770.53994
"Boston","33015",182,17,1,1032,1807314,12790799556.1296,306359,2056063278.23136
"Boston","33015",182,17,2,2124,3700498,25855352578.6833,306359,2056063278.23136
"Boston","33015",182,17,3,3154,5483708,37704199106.4036,306359,2056063278.23136
"Boston","33015",182,17,4,3748,6567377,44471427732.7185,306359,2056063278.23136
"Boston","33015",182,17,5,3800,6650372,45937107922.9794,306359,2056063278.23136
"Boston","33015",182,17,6,3628,6400667,46349363639.6315,306359,2056063278.23136
"Boston","33015",182,17,7,3160,5554946,42953003021.3023,306359,2056063278.23136
"Boston","33015",182,17,8,2818,4800324,37511925461.6039,306359,2056063278.23136
"Boston","33015",182,17,9,2474,4024023,28634583781.1599,306359,2056063278.23136
"Boston","33015",182,17,10,2068,3218207,18194795640.0434,306359,2056063278.23136
"Boston","33015",182,17,11,1774,2716375,13003249032.2214,306359,2056063278.23136
"Boston","33015",182,17,12,1452,2135750,10231109987.6319,306359,2056063278.23136
"Boston","33015",182,17,13,996,1397891,5966092193.3949,306359,2056063278.23136
"Boston","33015",182,17,14,524,732910,2012319787.07595,306359,2056063278.23136
"Boston","33015",182,17,15,160,221114,461611687.360541,306359,2056063278.23136
"Boston","33015",182,17,16,28,37093,66320965.8362424,306359,2056063278.23136
"Boston","33015",182,17,17,2,2410,4191265.70007265,306359,2056063278.23136
"Boston","25009",546,19,1,3348,4951046,38049424498.5596,783676,2142175653.82741
"Boston","25009",546,19,2,8910,12886614,85419083960.996,783676,2142175653.82741
"Boston","25009",546,19,3,17078,24162347,108584235643.809,783676,2142175653.82741
"Boston","25009",546,19,4,24870,35061077,122892979346.77,783676,2142175653.82741
"Boston","25009",546,19,5,30144,42495077,130167635951.624,783676,2142175653.82741
"Boston","25009",546,19,6,32056,46088247,132708948054.589,783676,2142175653.82741
"Boston","25009",546,19,7,32148,47145482,132081700798.035,783676,2142175653.82741
"Boston","25009",546,19,8,29908,44362370,117954690833.992,783676,2142175653.82741
"Boston","25009",546,19,9,25178,37153653,88247959275.2672,783676,2142175653.82741
"Boston","25009",546,19,10,21090,30955187,77079906125.6508,783676,2142175653.82741
"Boston","25009",546,19,11,19754,28445704,61802541668.836,783676,2142175653.82741
"Boston","25009",546,19,12,18744,26397208,39931257864.7254,783676,2142175653.82741
"Boston","25009",546,19,13,15266,21123497,19091587855.7699,783676,2142175653.82741
"Boston","25009",546,19,14,10496,14265045,8710064872.46292,783676,2142175653.82741
"Boston","25009",546,19,15,5706,7686576,3521668270.97256,783676,2142175653.82741
"Boston","25009",546,19,16,2256,3059084,1050311692.32936,783676,2142175653.82741
"Boston","25009",546,19,17,554,761254,175337423.593974,783676,2142175653.82741
"Boston","25009",546,19,18,62,100377,16111229.421707,783676,2142175653.82741
"Boston","25009",546,19,19,2,3575,285968.532310601,783676,2142175653.82741
"Boston","33017",77,10,1,418,714644,5144324777.66691,129124,989092891.273438
