"day","county","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2020-04-04",33017,-1,0.451711546835624,0.448514905549601,-1,0.494758084874984,0.503289756601093,-1,0.344237880064804,0.348348183110354,"COVID-19","Boston"
"2020-04-05",33017,-1,0.385202655371418,0.384479326135931,-1,0.442246008869076,0.448635365280098,-1,0.306876306565668,0.310305092113888,"COVID-19","Boston"
"2020-02-10",25021,0.154041391866046,0.496715050117007,0.495481486839434,-0.75316507589451,0.608295062996227,0.602068381179411,-0.773697753298439,0.422583173947257,0.417841783041991,"COVID-19","Boston"
"2020-02-11",25021,0.150501571438868,0.492659879456004,0.488970456211821,-0.760273824506096,0.599078718619072,0.593005539252579,-0.777080856286759,0.41388461183381,0.409607243407438,"COVID-19","Boston"
"2020-02-12",25021,0.149869030822491,0.502530431045131,0.498105428615938,-0.753567830558484,0.619182042532392,0.611785827693228,-0.774704202700169,0.429520206519969,0.424222569904697,"COVID-19","Boston"
"2020-02-13",25021,0.148262954798382,0.49648450045618,0.494730542529004,-0.764872107098379,0.605224541582707,0.599511928750433,-0.779315168245561,0.41896988413876,0.414818744375774,"COVID-19","Boston"
"2020-02-14",25021,0.154921941829279,0.49905547680493,0.497532008625707,-0.745792030726359,0.619570221281759,0.612399591397681,-0.770215820584747,0.431945328984924,0.426058662598442,"COVID-19","Boston"
"2020-02-15",25021,0.183235528501361,0.511442332077115,0.513115469492663,-0.701566608267432,0.632763343864833,0.629978948174789,-0.748581946189647,0.446236141341593,0.444571815649001,"COVID-19","Boston"
"2020-02-16",25021,0.177175064449739,0.500943662847806,0.501301005598265,-0.699120723626412,0.618338171703323,0.615851094170817,-0.74866129427337,0.433992248392327,0.431522315602896,"COVID-19","Boston"
"2020-03-30",25021,0.188591400984128,0.529493833413447,0.533917283944304,-0.706335403542611,0.615250242882111,0.617072848541682,-0.752189414945299,0.433834894191588,0.435699501237602,"COVID-19","Boston"
"2020-03-31",25021,0.188207965651448,0.527964763742911,0.53347848529173,-0.706331986890629,0.614609953720159,0.615899211655448,-0.752709222629468,0.431079801330563,0.432944744417499,"COVID-19","Boston"
"2020-04-01",25021,0.158030065791474,0.480629769021522,0.484606127751297,-0.713849731032899,0.593829739082851,0.598237037197882,-0.757643251014021,0.416731938980342,0.420763094881915,"COVID-19","Boston"
"2020-04-02",25021,0.165239128177576,0.494633416124373,0.500529366475624,-0.715933930129085,0.601593424727708,0.605123778840117,-0.758543199023967,0.424747549677686,0.426933322157309,"COVID-19","Boston"
