"msa","pop_total","area_km2","avg_density","mean_cbg_area_km2","median_cbg_area_km2","n_cbg","radial_slope","radial_r2","compactness","poly_gini","rank_size_slope","county"
"Miami",2699428,6309.19044512838,427.856477542908,3.95808685390739,0.47960592714535,1594,-3.55849949401282e-05,0.0691863172942238,0.415245601397027,0.363392872841996,0.81874906472107,"12086"
"New York",141483,1384.95491450004,102.157116104443,12.8236566157411,8.21186511843939,108,-4.77927816530427e-05,0.0398026495184557,0.683373861670135,0.0450329298989691,0.133575761523274,"34037"
"New York",1483832,6138.55400460356,241.723376366358,6.14469870330686,1.23459376049386,999,-4.1221431390145e-05,0.317057132985114,0.543509886939896,0.408337277577146,0.569577352904151,"36103"
"New York",554033,272.881198014641,2030.30844202859,0.654391362145421,0.375056275271106,417,-6.60485009808422e-06,0.000496009363163647,0.366946868985264,NA,NA,"34039"
"New York",1356509,1173.03238179515,1156.41223639885,1.02627504968954,0.368588074929552,1143,-6.81975405579422e-05,0.129347264558747,0.51225359764702,0.36508382761891,0.69886271888196,"36059"
"New York",825920,835.367628585598,988.690454044054,1.59726124012543,0.760679077364363,523,-4.172393834166e-05,0.0433511185145594,0.468343534144038,0.338426509652226,0.829082602108961,"34023"
"New York",968890,1293.26530533,749.181158735848,1.83702458143466,0.505722264680404,704,-5.17130468282135e-05,0.0907480646098924,0.490081147762204,0.34139060352031,0.637300083192828,"36119"
"New York",670046,161.401219166508,4151.43084705421,0.362699368913502,0.109170348488575,445,-7.77647083298424e-05,0.050085276547806,0.363968079275832,0.403770936571923,1.89619021353426,"34017"
"New York",474893,264.610564696554,1794.68646894198,0.78287149318507,0.285134537228678,338,-5.0016881759385e-05,0.0123610014673624,0.738095808341293,0.188483669672665,0.250114071073871,"36085"
"New York",98787,636.901469087332,155.105624330809,9.23045607372944,4.79401003005582,69,-4.17514135279071e-05,0.0329280330546791,0.656300728215636,NA,NA,"36079"
"New York",621659,1721.63171120954,361.087098914583,3.67085652709922,1.11805590866508,469,-6.13620602206236e-06,0.000697891045987693,0.470660853305022,0.262207532652301,0.456830743536626,"34025"
"New York",329838,788.888626714581,418.104645992488,4.35850070008056,1.97949198614816,181,-7.24830163908976e-05,0.0958089196466571,0.364148781776525,0.149029769676191,0.453299754236696,"34035"
"New York",596415,2366.98123572888,251.972846677993,6.26185512097588,1.58802458438989,378,-4.07918646207303e-05,0.128375752493322,0.555519280727229,0.431160894006237,1.62876816932621,"34029"
"New York",493379,1245.64291358523,396.083817134998,4.22251835113638,1.82182188815849,295,-5.36304519627581e-05,0.107199372404404,0.300046137925226,0.190686110447048,0.415284989241521,"34027"
"New York",795404,334.706593161952,2376.4216667675,0.498817575502165,0.237970088028932,671,-0.000190836250347084,0.29118212362887,0.381713644769663,0.112942262332069,0.359541690417765,"34013"
