"day","county","pearson_homo","pearson_power","pearson_exp","spearman_homo","spearman_power","spearman_exp","kendall_homo","kendall_power","kendall_exp","event","msa"
"2020-02-11",17063,-1,0.20287465651818,0.168857794934804,-1,0.22398902373819,0.167724204123409,-1,0.140037937834741,0.0969493415778974,"COVID-19","Chicago"
"2020-02-12",17063,-1,0.238608063207052,0.2013487250854,-1,0.26102238939196,0.242683579832806,-1,0.180518392011262,0.169794527139306,"COVID-19","Chicago"
"2020-02-13",17063,-1,0.247025748296708,0.204665436908125,-1,0.326914274786481,0.299862462426871,-1,0.209303665210589,0.194992303486788,"COVID-19","Chicago"
"2020-02-14",17063,-1,0.265563509039235,0.219054242461021,-1,0.273706739062795,0.236723472254757,-1,0.193030184327247,0.175157019111761,"COVID-19","Chicago"
"2020-02-15",17063,-1,0.192355365764663,0.156646604093847,-0.999770721079183,0.148567072367213,0.135880789438737,-0.998209488268216,0.112701973574933,0.101968452282082,"COVID-19","Chicago"
"2020-02-16",17063,-1,0.190466513973706,0.146459893147789,-1,0.284469611078591,0.229593420655585,-1,0.209680449791378,0.166669075475198,"COVID-19","Chicago"
"2020-03-30",17063,-1,0.165235941594455,0.127739064745992,-1,0.182151959701497,0.16517558058574,-1,0.126018778197031,0.111616632117371,"COVID-19","Chicago"
"2020-03-31",17063,-1,0.216241932368702,0.180857974168381,-1,0.202721334343262,0.179177529298871,-1,0.145425653008468,0.131062625550841,"COVID-19","Chicago"
"2020-04-01",17063,-1,0.169895026827142,0.138398104049171,-1,0.281171230833464,0.234844486438391,-1,0.188514735381347,0.166970194194907,"COVID-19","Chicago"
"2020-04-02",17063,-1,0.174729652607058,0.152177699155675,-1,0.246560710730665,0.229593420655585,-1,0.170253356668213,0.170253356668213,"COVID-19","Chicago"
"2020-04-03",17063,-1,0.131302570056556,0.104000664017872,-1,0.128667483164876,0.130654035755308,-1,0.0910715737749464,0.0982144423063147,"COVID-19","Chicago"
"2020-04-04",17063,-1,0.138980645743652,0.116539719986138,-0.999923532785207,0.266452686614317,0.262019452012013,-0.999098692921874,0.157850644395741,0.154263129750383,"COVID-19","Chicago"
