"base_day","lag","rep","scenario","disturb","rho","error"
2020-02-12,32,32,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,33,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,34,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,35,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,36,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,37,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,38,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,39,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,40,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,41,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,42,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,43,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,44,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,45,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,46,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,47,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,48,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,49,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,50,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,51,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,52,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,53,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,54,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,55,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,56,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,57,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,58,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,59,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,60,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,61,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,62,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,63,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,64,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,65,"I_scale",0.9,0.429531601494747,16.7482262709984
2020-02-12,32,66,"I_scale",0.9,0.429531601494747,16.7482262709984
