"model","period","value","msa","metric"
"power","before",0.240485678424682,"Atlanta","SSI"
"homo","during",0.668543730494291,"Atlanta","SSI"
"exp","during",0.792588431341766,"Atlanta","SSI"
"power","during",0.241005028891819,"Atlanta","SSI"
"homo","before",0.709262790491165,"Boston","SSI"
"exp","before",0.751512564572511,"Boston","SSI"
"power","before",0.243835165847384,"Boston","SSI"
"homo","during",0.42696672116969,"Boston","SSI"
"exp","during",0.638012925122627,"Boston","SSI"
"power","during",0.243111079705005,"Boston","SSI"
"homo","before",0.709435572258565,"Chicago","SSI"
"exp","before",0.780984314235432,"Chicago","SSI"
"power","before",0.23089789758602,"Chicago","SSI"
"homo","during",0.672939579581677,"Chicago","SSI"
"exp","during",0.745090626865308,"Chicago","SSI"
"power","during",0.229852121490805,"Chicago","SSI"
"homo","before",0.679762797136105,"Dallas","SSI"
"exp","before",0.787904864338198,"Dallas","SSI"
"power","before",0.230899565093927,"Dallas","SSI"
"homo","during",0.676479940812391,"Dallas","SSI"
"exp","during",0.767985060611833,"Dallas","SSI"
"power","during",0.230139068125797,"Dallas","SSI"
"homo","before",0.638246294593949,"Houston","SSI"
"exp","before",0.747845980563537,"Houston","SSI"
"power","before",0.222960382883185,"Houston","SSI"
"homo","during",0.62986047238973,"Houston","SSI"
"exp","during",0.745581474328453,"Houston","SSI"
"power","during",0.224550128992892,"Houston","SSI"
"homo","before",0.727131188352467,"Los Angeles","SSI"
"exp","before",0.756982703371289,"Los Angeles","SSI"
"power","before",0.23100902710124,"Los Angeles","SSI"
"homo","during",0.581229582129958,"Los Angeles","SSI"
"exp","during",0.682888087705521,"Los Angeles","SSI"
"power","during",0.229901190360547,"Los Angeles","SSI"
"homo","before",0.703542586715824,"Miami","SSI"
"exp","before",0.686576715310764,"Miami","SSI"
"power","before",0.226829568601439,"Miami","SSI"
"homo","during",0.651715658959344,"Miami","SSI"
"exp","during",0.729065256490344,"Miami","SSI"
"power","during",0.227181456679918,"Miami","SSI"
"homo","before",0.490510936323306,"New York","SSI"
"exp","before",0.718278991104267,"New York","SSI"
"power","before",0.235372269170834,"New York","SSI"
"homo","during",0.425221558805421,"New York","SSI"
"exp","during",0.592770863610781,"New York","SSI"
"power","during",0.23165576809115,"New York","SSI"
"homo","before",0.722649969697832,"Philadelphia","SSI"
"exp","before",0.774069907263282,"Philadelphia","SSI"
"power","before",0.237704006222215,"Philadelphia","SSI"
"homo","during",0.675170106918053,"Philadelphia","SSI"
"exp","during",0.720530586054993,"Philadelphia","SSI"
"power","during",0.236799911887531,"Philadelphia","SSI"
"homo","before",0.675277233318372,"San Francisco","SSI"
"exp","before",0.701711917951691,"San Francisco","SSI"
"power","before",0.229689366153934,"San Francisco","SSI"
"homo","during",0.381966292879137,"San Francisco","SSI"
"exp","during",0.575449095698285,"San Francisco","SSI"
"power","during",0.229156219082465,"San Francisco","SSI"
"homo","before",0.75604373174313,"Seattle","SSI"
"exp","before",0.767485648938389,"Seattle","SSI"
"power","before",0.239616777530479,"Seattle","SSI"
"homo","during",0.646035054159673,"Seattle","SSI"
"exp","during",0.686841417603716,"Seattle","SSI"
"power","during",0.235147325949812,"Seattle","SSI"
"homo","before",0.706788227515341,"Washington, D.C.","SSI"
"exp","before",0.749616476550035,"Washington, D.C.","SSI"
"power","before",0.240084472366078,"Washington, D.C.","SSI"
"homo","during",0.484301105353223,"Washington, D.C.","SSI"
"exp","during",0.678288271239948,"Washington, D.C.","SSI"
"power","during",0.239770831674312,"Washington, D.C.","SSI"
"homo","before",0.604485413068548,"Atlanta","CPC"
"exp","before",0.777498542181081,"Atlanta","CPC"
"power","before",0.999829806373825,"Atlanta","CPC"
"homo","during",0.571914631289282,"Atlanta","CPC"
"exp","during",0.751908267775809,"Atlanta","CPC"
"power","during",0.998215858575148,"Atlanta","CPC"
"homo","before",0.601392855526591,"Boston","CPC"
"exp","before",0.651521809882224,"Boston","CPC"
"power","before",0.999867778319116,"Boston","CPC"
"homo","during",0.275488999514024,"Boston","CPC"
"exp","during",0.486702655938547,"Boston","CPC"
"power","during",0.998686718602884,"Boston","CPC"
"homo","before",0.598497648855367,"Chicago","CPC"
"exp","before",0.713927701590534,"Chicago","CPC"
"power","before",0.999943343277719,"Chicago","CPC"
"homo","during",0.544599334371342,"Chicago","CPC"
"exp","during",0.647190709357594,"Chicago","CPC"
"power","during",0.998141995131366,"Chicago","CPC"
"homo","before",0.615397651641023,"Dallas","CPC"
"exp","before",0.739777452594556,"Dallas","CPC"
"power","before",1,"Dallas","CPC"
"homo","during",0.587772968073921,"Dallas","CPC"
"exp","during",0.704402100955812,"Dallas","CPC"
"power","during",0.994978220062182,"Dallas","CPC"
"homo","before",0.540649882835568,"Houston","CPC"
"exp","before",0.679503141451842,"Houston","CPC"
"power","before",0.999921716590508,"Houston","CPC"
"homo","during",0.508314637026508,"Houston","CPC"
"exp","during",0.664566747387507,"Houston","CPC"
"power","during",0.999225580099315,"Houston","CPC"
"homo","before",0.633211066217745,"Los Angeles","CPC"
"exp","before",0.661371081575735,"Los Angeles","CPC"
"power","before",0.999992452767761,"Los Angeles","CPC"
"homo","during",0.429643480687259,"Los Angeles","CPC"
"exp","during",0.544226747594928,"Los Angeles","CPC"
"power","during",0.998781805367558,"Los Angeles","CPC"
"homo","before",0.622234580549589,"Miami","CPC"
"exp","before",0.551430045299075,"Miami","CPC"
"power","before",0.999088720311597,"Miami","CPC"
"homo","during",0.520805948413273,"Miami","CPC"
"exp","during",0.617707859978204,"Miami","CPC"
"power","during",0.999924762313004,"Miami","CPC"
"homo","before",0.330344352787073,"New York","CPC"
"exp","before",0.59287437666838,"New York","CPC"
"power","before",0.999748580122627,"New York","CPC"
"homo","during",0.273765489776378,"New York","CPC"
"exp","during",0.434712899361041,"New York","CPC"
"power","during",0.995154446332563,"New York","CPC"
"homo","before",0.636488494937994,"Philadelphia","CPC"
"exp","before",0.699681863589549,"Philadelphia","CPC"
"power","before",0.999990431083211,"Philadelphia","CPC"
"homo","during",0.544218811935192,"Philadelphia","CPC"
"exp","during",0.602181020261568,"Philadelphia","CPC"
"power","during",0.998808283390127,"Philadelphia","CPC"
"homo","before",0.556087740576542,"San Francisco","CPC"
"exp","before",0.568895888126928,"San Francisco","CPC"
"power","before",0.999913066286481,"San Francisco","CPC"
"homo","during",0.238810439408139,"San Francisco","CPC"
"exp","during",0.413776942743156,"San Francisco","CPC"
"power","during",0.997383072422124,"San Francisco","CPC"
"homo","before",0.684952560073776,"Seattle","CPC"
"exp","before",0.673445033774245,"Seattle","CPC"
"power","before",1,"Seattle","CPC"
"homo","during",0.506928703785706,"Seattle","CPC"
"exp","during",0.549752141381127,"Seattle","CPC"
"power","during",0.990525385281311,"Seattle","CPC"
"homo","before",0.612980522266096,"Washington, D.C.","CPC"
"exp","before",0.654792617722165,"Washington, D.C.","CPC"
"power","before",0.999933181557166,"Washington, D.C.","CPC"
"homo","during",0.328074740633929,"Washington, D.C.","CPC"
"exp","during",0.542771591871249,"Washington, D.C.","CPC"
"power","during",0.998166069575425,"Washington, D.C.","CPC"
"homo","before",0.109031452283568,"Atlanta","PCC"
"exp","before",0.716228607776236,"Atlanta","PCC"
"power","before",0.715449905461982,"Atlanta","PCC"
"homo","during",0.167306188497826,"Atlanta","PCC"
"exp","during",0.697593956194108,"Atlanta","PCC"
"power","during",0.694523476261204,"Atlanta","PCC"
"homo","before",0.157305455229887,"Boston","PCC"
"exp","before",0.510208940766673,"Boston","PCC"
"power","before",0.515575521322531,"Boston","PCC"
"homo","during",0.0539584767909445,"Boston","PCC"
"exp","during",0.451925703136342,"Boston","PCC"
"power","during",0.45643534380767,"Boston","PCC"
"homo","before",0.0700663054186624,"Chicago","PCC"
"exp","before",0.635005678062649,"Chicago","PCC"
"power","before",0.637747569955914,"Chicago","PCC"
"homo","during",0.124264447182646,"Chicago","PCC"
"exp","during",0.579382997107613,"Chicago","PCC"
"power","during",0.579357015120847,"Chicago","PCC"
"homo","before",0.0356965624958011,"Dallas","PCC"
"exp","before",0.710121666662667,"Dallas","PCC"
"power","before",0.709293993596355,"Dallas","PCC"
"homo","during",0.123476068524822,"Dallas","PCC"
"exp","during",0.623391763851392,"Dallas","PCC"
"power","during",0.617568872132929,"Dallas","PCC"
"homo","before",0.057548381053601,"Houston","PCC"
"exp","before",0.677498799537118,"Houston","PCC"
"power","before",0.67908029988775,"Houston","PCC"
"homo","during",0.0822180933633219,"Houston","PCC"
"exp","during",0.687241704578188,"Houston","PCC"
"power","during",0.689650703733194,"Houston","PCC"
"homo","before",0.107194826398731,"Los Angeles","PCC"
"exp","before",0.566498096777581,"Los Angeles","PCC"
"power","before",0.569257332148893,"Los Angeles","PCC"
"homo","during",0.115631121714149,"Los Angeles","PCC"
"exp","during",0.500716099503101,"Los Angeles","PCC"
"power","during",0.499413616999348,"Los Angeles","PCC"
"homo","before",0.100474351991987,"Miami","PCC"
"exp","before",0.503490437140701,"Miami","PCC"
"power","before",0.529531055314576,"Miami","PCC"
"homo","during",0.156879791073459,"Miami","PCC"
"exp","during",0.536207695819512,"Miami","PCC"
"power","during",0.533803666955823,"Miami","PCC"
"homo","before",0.152192403630992,"New York","PCC"
"exp","before",0.554770826437434,"New York","PCC"
"power","before",0.560214041470528,"New York","PCC"
"homo","during",0.0878934927191269,"New York","PCC"
"exp","during",0.398357043690834,"New York","PCC"
"power","during",0.40253040845421,"New York","PCC"
"homo","before",0.0655752679252587,"Philadelphia","PCC"
"exp","before",0.565625628207476,"Philadelphia","PCC"
"power","before",0.563758231258234,"Philadelphia","PCC"
"homo","during",0.0964109661508381,"Philadelphia","PCC"
"exp","during",0.44870699809766,"Philadelphia","PCC"
"power","during",0.445954872491511,"Philadelphia","PCC"
"homo","before",0.112471084010957,"San Francisco","PCC"
"exp","before",0.611588292801207,"San Francisco","PCC"
"power","before",0.617812406088363,"San Francisco","PCC"
"homo","during",0.133679205435295,"San Francisco","PCC"
"exp","during",0.557604153687823,"San Francisco","PCC"
"power","during",0.559327288108079,"San Francisco","PCC"
"homo","before",0.148589892667922,"Seattle","PCC"
"exp","before",0.539976415809733,"Seattle","PCC"
"power","before",0.547164765499962,"Seattle","PCC"
"homo","during",0.0537592171339344,"Seattle","PCC"
"exp","during",0.393078338142753,"Seattle","PCC"
"power","during",0.395015200183963,"Seattle","PCC"
"homo","before",0.102199252286027,"Washington, D.C.","PCC"
"exp","before",0.557744260352597,"Washington, D.C.","PCC"
"power","before",0.562751374604267,"Washington, D.C.","PCC"
"homo","during",0.058324384330562,"Washington, D.C.","PCC"
"exp","during",0.48867833914117,"Washington, D.C.","PCC"
"power","during",0.490728406064638,"Washington, D.C.","PCC"
"homo","before",-0.0302570103330504,"Atlanta","SRC"
"exp","before",0.755121098056969,"Atlanta","SRC"
"power","before",0.752599662617332,"Atlanta","SRC"
"homo","during",0.035200091375623,"Atlanta","SRC"
"exp","during",0.727677146701542,"Atlanta","SRC"
"power","during",0.722062015143166,"Atlanta","SRC"
"homo","before",0.0170645461668938,"Boston","SRC"
"exp","before",0.548735897815378,"Boston","SRC"
"power","before",0.550248005560344,"Boston","SRC"
"homo","during",-0.0655028863374161,"Boston","SRC"
"exp","during",0.545931113984683,"Boston","SRC"
"power","during",0.548986523726484,"Boston","SRC"
"homo","before",-0.0337103321931225,"Chicago","SRC"
"exp","before",0.608164726311564,"Chicago","SRC"
"power","before",0.603042640337921,"Chicago","SRC"
"homo","during",0.0225363057049,"Chicago","SRC"
"exp","during",0.57212512560839,"Chicago","SRC"
"power","during",0.565680804824889,"Chicago","SRC"
"homo","before",-0.12466519180581,"Dallas","SRC"
"exp","before",0.732882011202374,"Dallas","SRC"
"power","before",0.729728180400406,"Dallas","SRC"
"homo","during",0.00987431777164289,"Dallas","SRC"
"exp","during",0.677215597964552,"Dallas","SRC"
"power","during",0.66922864845913,"Dallas","SRC"
"homo","before",-0.0819855535144494,"Houston","SRC"
"exp","before",0.714836548396109,"Houston","SRC"
"power","before",0.717110950011033,"Houston","SRC"
"homo","during",-0.0253234902997466,"Houston","SRC"
"exp","during",0.689213301437924,"Houston","SRC"
"power","during",0.688580425262246,"Houston","SRC"
"homo","before",-0.0192030319827402,"Los Angeles","SRC"
"exp","before",0.54939846242535,"Los Angeles","SRC"
"power","before",0.545839325508101,"Los Angeles","SRC"
"homo","during",0.0128151691692991,"Los Angeles","SRC"
"exp","during",0.526534535679329,"Los Angeles","SRC"
"power","during",0.521212556789341,"Los Angeles","SRC"
"homo","before",-0.0281341753000307,"Miami","SRC"
"exp","before",0.595255635844732,"Miami","SRC"
"power","before",0.64898437533756,"Miami","SRC"
"homo","during",-0.0139313367947285,"Miami","SRC"
"exp","during",0.613819584801303,"Miami","SRC"
"power","during",0.610274740873439,"Miami","SRC"
"homo","before",0.0163234347755728,"New York","SRC"
"exp","before",0.55927639121302,"New York","SRC"
"power","before",0.565479900839899,"New York","SRC"
"homo","during",-0.0409689862948509,"New York","SRC"
"exp","during",0.482675690726146,"New York","SRC"
"power","during",0.488934201955956,"New York","SRC"
"homo","before",-0.0766332913319129,"Philadelphia","SRC"
"exp","before",0.593051420971103,"Philadelphia","SRC"
"power","before",0.59206654616246,"Philadelphia","SRC"
"homo","during",-0.0210823175262027,"Philadelphia","SRC"
"exp","during",0.502786370380628,"Philadelphia","SRC"
"power","during",0.499348507821576,"Philadelphia","SRC"
"homo","before",-0.00632935298283533,"San Francisco","SRC"
"exp","before",0.612915830753411,"San Francisco","SRC"
"power","before",0.612381150086254,"San Francisco","SRC"
"homo","during",0.015878675556736,"San Francisco","SRC"
"exp","during",0.595628271386385,"San Francisco","SRC"
"power","during",0.595392823220875,"San Francisco","SRC"
"homo","before",-0.0108092634659406,"Seattle","SRC"
"exp","before",0.545566531408607,"Seattle","SRC"
"power","before",0.548841425991274,"Seattle","SRC"
"homo","during",-0.0521321822010309,"Seattle","SRC"
"exp","during",0.541903044808506,"Seattle","SRC"
"power","during",0.546140733467126,"Seattle","SRC"
"homo","before",-0.0301394357107994,"Washington, D.C.","SRC"
"exp","before",0.570963445151948,"Washington, D.C.","SRC"
"power","before",0.571439160264428,"Washington, D.C.","SRC"
"homo","during",-0.0934914935783887,"Washington, D.C.","SRC"
"exp","during",0.559772464332922,"Washington, D.C.","SRC"
"power","during",0.557605408193068,"Washington, D.C.","SRC"
