"model","period","value","msa","metric"
"exp","before",0.574006266979656,"Chicago","PCC"
"power","before",0.583372027556732,"Chicago","PCC"
"homo","during",0.0688261854581815,"Chicago","PCC"
"exp","during",0.611124787581638,"Chicago","PCC"
"power","during",0.623061588619783,"Chicago","PCC"
"homo","before",0.0405584848003621,"Dallas","PCC"
"exp","before",0.633400878412459,"Dallas","PCC"
"power","before",0.639915686048926,"Dallas","PCC"
"homo","during",0.0740584689998281,"Dallas","PCC"
"exp","during",0.677422585760003,"Dallas","PCC"
"power","during",0.68009874698512,"Dallas","PCC"
"homo","before",0.0318112254340387,"Houston","PCC"
"exp","before",0.653900915508039,"Houston","PCC"
"power","before",0.659082361027652,"Houston","PCC"
"homo","during",0.0542549978457809,"Houston","PCC"
"exp","during",0.664816471387948,"Houston","PCC"
"power","during",0.66764711884392,"Houston","PCC"
"homo","before",0.0492036616290054,"Los Angeles","PCC"
"exp","before",0.517021766656783,"Los Angeles","PCC"
"power","before",0.525867691685469,"Los Angeles","PCC"
"homo","during",0.0733620230838693,"Los Angeles","PCC"
"exp","during",0.553907930564522,"Los Angeles","PCC"
"power","during",0.565563475996663,"Los Angeles","PCC"
"homo","before",0.0370678942370519,"Miami","PCC"
"exp","before",0.501618499770152,"Miami","PCC"
"power","before",0.503766203477408,"Miami","PCC"
"homo","during",0.0709344402976814,"Miami","PCC"
"exp","during",0.549294525749507,"Miami","PCC"
"power","during",0.551161365888036,"Miami","PCC"
"homo","before",0.0678199886800287,"New York","PCC"
"exp","before",0.511949581826519,"New York","PCC"
"power","before",0.525014770629081,"New York","PCC"
"homo","during",0.0649090712546629,"New York","PCC"
"exp","during",0.46214426317918,"New York","PCC"
"power","during",0.507140208917348,"New York","PCC"
"homo","before",0.0390442876083544,"Philadelphia","PCC"
"exp","before",0.55536687436069,"Philadelphia","PCC"
"power","before",0.562575930431318,"Philadelphia","PCC"
"homo","during",0.0716107510646468,"Philadelphia","PCC"
"exp","during",0.575338390954361,"Philadelphia","PCC"
"power","during",0.578578378444214,"Philadelphia","PCC"
"homo","before",0.0480004751088248,"San Francisco","PCC"
"exp","before",0.523576543802902,"San Francisco","PCC"
"power","before",0.545440535608905,"San Francisco","PCC"
"homo","during",0.0556664741845087,"San Francisco","PCC"
"exp","during",0.461412764908357,"San Francisco","PCC"
"power","during",0.595024044155087,"San Francisco","PCC"
"homo","before",0.0448815840171563,"Seattle","PCC"
"exp","before",0.450568645658788,"Seattle","PCC"
