"msa","day","rho","county","pop","area","median_rho","model"
"Atlanta","2020-02-12",0.504942362234886,"13199",0.021106,1309.64542684211,0.504942362234886,0.522304040632397
"Atlanta","2020-02-11",0.477578271158189,"13113",0.112303,516.460366762868,0.477578271158189,0.46018808011192
"Atlanta","2020-02-11",0.547864549697892,"13143",0.029227,733.666426318961,0.547864549697892,0.499803551059705
"Atlanta","2020-02-15",0.491807455947003,"13015",0.104919,1217.87729961266,0.491807455947003,0.481394091061401
"Atlanta","2020-02-13",0.481924024693168,"13077",0.14326,1155.1977001511,0.481924024693168,0.472935866404792
"Atlanta","2020-02-14",0.661777831722034,"13159",0.013916,967.691847018888,0.661777831722034,0.525207249574742
"Atlanta","2020-02-12",0.500116504776328,"13151",0.225356,845.989413236567,0.500116504776328,0.455665563786114
"Atlanta","2020-02-13",0.606090057906912,"13085",0.024536,555.422095492604,0.606090057906912,0.497295873127379
"Atlanta","2020-02-10",0.475240810565119,"13097",0.143316,520.963203955335,0.475240810565119,0.454952241359402
"Atlanta","2020-02-15",0.615442857155095,"13211",0.018507,918.810969563801,0.615442857155095,0.516666767371039
"Atlanta","2020-02-10",0.466480338788209,"13135",0.915046,1131.5371850774,0.466480338788209,0.431698092009806
"Atlanta","2020-02-11",0.668183769377087,"13231",0.018327,568.53242341241,0.668183769377087,0.50497906508733
"Atlanta","2020-02-11",0.479426076209933,"13247",0.089717,342.256461608215,0.479426076209933,0.45602210244789
"Atlanta","2020-02-10",0.451058772563642,"13121",1.0362,1384.4227131817,0.451058772563642,0.433326237214638
"Atlanta","2020-02-16",0.647341538985176,"13149",0.011736,780.175605516432,0.647341538985176,0.52405809938559
"Atlanta","2020-02-13",0.453265794096348,"13067",0.751218,892.568897763052,0.453265794096348,0.430859738598458
"Atlanta","2020-02-10",0.468657901590694,"13057",0.247515,1125.39548224383,0.468657901590694,0.459933347988378
"Atlanta","2020-02-13",0.51380195341212,"13217",0.108079,723.398534687031,0.51380195341212,0.468668855622591
"Atlanta","2020-02-11",0.501007936398968,"13255",0.065306,517.16934389542,0.501007936398968,0.472520013376082
"Atlanta","2020-02-13",0.553451659875672,"13035",0.02409,487.240541519924,0.553451659875672,0.494578096494285
