"msa","day","rho","county","median_day","median_rho","pop","area"
"Boston","2020-02-12",0.410175682646819,"25025","2020-02-12",0.410175682646819,0.796605,310.836427143774
"Boston","2020-02-11",0.449074993100037,"25017","2020-02-11",0.449074993100037,1.600842,2190.06377053994
"Boston","2020-02-15",0.464065726744663,"33015","2020-02-15",0.464065726744663,0.306359,2056.06327823136
"Boston","2020-02-15",0.416832429015951,"25009","2020-02-15",0.416832429015951,0.783676,2142.17565382741
"Boston","2020-02-10",0.474386921941285,"33017","2020-02-10",0.474386921941285,0.129124,989.092891273438
"Boston","2020-02-11",0.457482521715737,"25021","2020-02-11",0.457482521715737,0.700437,1149.03921592587
"Boston","2020-02-11",0.430712437490288,"25023","2020-02-11",0.430712437490288,0.515303,2827.3012708862
"Chicago","2020-02-15",0.542405627596871,"18073","2020-02-15",0.542405627596871,0.033447,1452.11002192164
"Chicago","2020-02-12",0.679243021909834,"18111","2020-02-12",0.679243021909834,0.013992,1043.55292260533
"Chicago","2020-02-16",0.44866862016461,"18089","2020-02-16",0.44866862016461,0.485707,1620.75157482985
"Chicago","2020-02-12",0.472411954489534,"17093","2020-02-12",0.472411954489534,0.126054,833.465604916257
"Chicago","2020-02-11",0.446316064659442,"55059","2020-02-11",0.446316064659442,0.168524,1949.68416244319
"Chicago","2020-02-15",0.430149149958916,"17031","2020-02-15",0.430149149958916,5.198275,4227.62718290808
"Chicago","2020-02-12",0.476361232026682,"17037","2020-02-12",0.476361232026682,0.104366,1641.30121805283
"Chicago","2020-02-13",0.456292186783457,"18127","2020-02-13",0.456292186783457,0.168636,1349.56401007906
"Chicago","2020-02-13",0.451132574287318,"17089","2020-02-13",0.451132574287318,0.531376,1355.94510518855
"Chicago","2020-02-12",0.49764414277729,"17063","2020-02-12",0.49764414277729,0.050666,1113.3445494648
"Chicago","2020-02-12",0.432191872592647,"17197","2020-02-12",0.432191872592647,0.689315,2196.43075552843
"Chicago","2020-02-12",0.448902374530025,"17043","2020-02-12",0.448902374530025,0.92906,869.820558409551
"Chicago","2020-02-12",0.435863209593173,"17097","2020-02-12",0.435863209593173,0.701473,3538.45342250416
"Chicago","2020-02-12",0.459076983902046,"17111","2020-02-12",0.459076983902046,0.307714,1579.64228045707
"Dallas","2020-02-15",0.513460585276519,"48397","2020-02-15",0.513460585276519,0.097175,385.485114218461
"Dallas","2020-02-13",0.483138650388663,"48367","2020-02-13",0.483138650388663,0.133811,2358.43765651348
"Dallas","2020-02-15",0.49047888565607,"48257","2020-02-15",0.49047888565607,0.123804,2092.96159066544
"Dallas","2020-02-14",0.477274057560373,"48251","2020-02-14",0.477274057560373,0.167212,1903.43962812167
"Dallas","2020-02-13",0.440143058373834,"48439","2020-02-13",0.440143058373834,2.04977,2338.22994694376
"Dallas","2020-02-12",0.499899482390411,"48497","2020-02-12",0.499899482390411,0.06629,2390.49980245527
"Dallas","2020-02-14",0.459761208028908,"48139","2020-02-14",0.459761208028908,0.173772,2466.60325957463
"Dallas","2020-02-11",0.480436775381768,"48231","2020-02-11",0.480436775381768,0.094162,2285.52288431841
"Dallas","2020-02-13",0.447187011718498,"48085","2020-02-13",0.447187011718498,0.973977,2296.17742566423
"Dallas","2020-02-13",0.450312679778394,"48121","2020-02-13",0.450312679778394,0.833822,2469.15205157583
"Dallas","2020-02-12",0.442563837134457,"48113","2020-02-12",0.442563837134457,2.606868,2354.62481006839
"Houston","2020-02-16",0.397357490230296,"48157","2020-02-16",0.397357490230296,0.765394,2295.86094014153
"Houston","2020-02-14",0.594911143326327,"48473","2020-02-14",0.594911143326327,0.051832,1342.67248224757
"Houston","2020-02-15",0.45385323799921,"48167","2020-02-15",0.45385323799921,0.332885,2265.96786882086
"Houston","2020-02-15",0.442743393021615,"48201","2020-02-15",0.442743393021615,4.64663,4608.97052190071
"Houston","2020-02-13",0.48153082513449,"48291","2020-02-13",0.48153082513449,0.083702,3050.07568264063
"Houston","2020-02-11",0.408359000112903,"48071","2020-02-11",0.408359000112903,0.041305,2259.04940165939
"Houston","2020-02-16",0.443929628698608,"48039","2020-02-16",0.443929628698608,0.360677,4171.66839859826
"Houston","2020-02-16",0.53870265073365,"48015","2020-02-16",0.53870265073365,0.029764,1701.97421164277
"Houston","2020-02-12",0.463144678209864,"48339","2020-02-12",0.463144678209864,0.571949,2792.09410660639
"Los Angeles","2020-02-11",0.420880686559648,"6037","2020-02-11",0.420880686559648,10.08157,12308.4217931546
"Los Angeles","2020-02-12",0.413505937408052,"6059","2020-02-12",0.413505937408052,3.168044,2456.19269192041
"Miami","2020-02-13",0.424813119267969,"12011","2020-02-13",0.424813119267969,1.926205,3432.51009551463
"Miami","2020-02-10",0.419020554849092,"12099","2020-02-10",0.419020554849092,1.465027,6183.4870515564
"Miami","2020-02-11",0.410070564640643,"12086","2020-02-11",0.410070564640643,2.699428,6309.19044512838
"New York","2020-02-12",0.465655502837186,"34037","2020-02-12",0.465655502837186,0.141483,1384.95491450004
"New York","2020-02-15",0.389676399527607,"36103","2020-02-15",0.389676399527607,1.483832,6138.55400460356
"New York","2020-02-14",0.454981568207614,"34039","2020-02-14",0.454981568207614,0.554033,272.881198014641
"New York","2020-02-11",0.437759745130661,"36059","2020-02-11",0.437759745130661,1.356509,1173.03238179515
"New York","2020-02-12",0.448775167683401,"34023","2020-02-12",0.448775167683401,0.82592,835.367628585598
