"msa","county","day","empirical","model"
"Atlanta","msa","2020-02-11",479,143.091849504124
"Atlanta","msa","2020-02-11",49,79.7404084547515
"Atlanta","msa","2020-02-11",31,33.9898515794754
"Atlanta","msa","2020-02-11",142,158.01801437287
"Atlanta","msa","2020-02-11",830,297.87881272605
"Atlanta","msa","2020-02-11",373,140.908631304675
"Atlanta","msa","2020-02-11",78,93.5097465180554
"Atlanta","msa","2020-02-11",150,161.636758995779
"Atlanta","msa","2020-02-11",465,48.8903511493993
"Atlanta","msa","2020-02-11",204,77.6605544311907
"Atlanta","msa","2020-02-11",79,176.077042437176
"Atlanta","msa","2020-02-11",39,43.3472974474888
"Atlanta","msa","2020-02-11",192,79.3837976204423
"Atlanta","msa","2020-02-11",556,130.203023804727
"Atlanta","msa","2020-02-11",331,429.599057919476
"Atlanta","msa","2020-02-11",234,76.2049071591821
"Atlanta","msa","2020-02-11",180,43.6223259635759
"Atlanta","msa","2020-02-11",119,187.310810241603
"Atlanta","msa","2020-02-11",41,293.867049053957
"Atlanta","msa","2020-02-11",712,206.250176767316
"Atlanta","msa","2020-02-11",320,294.596850862083
"Atlanta","msa","2020-02-11",134,49.6414421385203
"Atlanta","msa","2020-02-11",687,529.983991827128
"Atlanta","msa","2020-02-11",1501,434.245376057321
"Atlanta","msa","2020-02-11",104,274.186668113271
"Atlanta","msa","2020-02-11",85,83.3835786944742
"Atlanta","msa","2020-02-11",108,75.1987756418306
"Atlanta","msa","2020-02-11",63,88.5023267937382
"Atlanta","msa","2020-02-11",132,130.988058746281
"Atlanta","msa","2020-02-11",259,141.364504179138
"Atlanta","msa","2020-02-11",1123,188.024019007231
"Atlanta","msa","2020-02-11",96,156.085306728487
"Atlanta","msa","2020-02-11",914,223.026887967567
"Atlanta","msa","2020-02-11",723,184.704313994746
"Atlanta","msa","2020-02-11",158,143.421533655546
"Atlanta","msa","2020-02-11",16,130.313728258935
"Atlanta","msa","2020-02-11",38,129.432314711158
"Atlanta","msa","2020-02-11",28,23.9601001595851
"Atlanta","msa","2020-02-11",44,62.7085665594315
"Atlanta","msa","2020-02-11",340,389.339662246096
"Atlanta","msa","2020-02-11",164,50.4390190052969
"Atlanta","msa","2020-02-11",117,70.0154420137572
"Atlanta","msa","2020-02-11",239,180.890690968385
"Atlanta","msa","2020-02-11",270,192.330668469202
"Atlanta","msa","2020-02-11",26,56.9066757580498
"Atlanta","msa","2020-02-11",121,187.901079779007
"Atlanta","msa","2020-02-11",33,79.9095046507475
"Atlanta","msa","2020-02-11",1570,202.093508377455
"Atlanta","msa","2020-02-11",72,143.268951261758
"Atlanta","msa","2020-02-11",107,177.281448251036
"Atlanta","msa","2020-02-11",317,184.938744176983
"Atlanta","msa","2020-02-11",1166,339.373652063955
"Atlanta","msa","2020-02-11",76,131.350892448554
"Atlanta","msa","2020-02-11",47,76.8342221847314
"Atlanta","msa","2020-02-11",643,191.721255055958
"Atlanta","msa","2020-02-11",275,173.307075224712
"Atlanta","msa","2020-02-11",151,105.54829046483
"Atlanta","msa","2020-02-11",192,192.207289739348
"Atlanta","msa","2020-02-11",63,128.785707205144
"Atlanta","msa","2020-02-11",764,106.853656828385
"Atlanta","msa","2020-02-11",81,50.7741834806249
"Atlanta","msa","2020-02-11",117,84.9715072157214
"Atlanta","msa","2020-02-11",163,158.939437648007
"Atlanta","msa","2020-02-11",82,81.5403056325817
"Atlanta","msa","2020-02-11",213,64.9190466837084
"Atlanta","msa","2020-02-11",264,78.730125777328
"Atlanta","msa","2020-02-11",307,146.830878418858
"Atlanta","msa","2020-02-11",1161,247.476900924986
"Atlanta","msa","2020-02-11",373,196.707347299269
"Atlanta","msa","2020-02-11",192,125.126086852378
"Atlanta","msa","2020-02-11",95,53.8051102179053
"Atlanta","msa","2020-02-11",86,60.9471043231156
