"model","day","error","msa"
"power","2020-02-14",2092.31868197276,"Houston"
"power","2020-02-15",1867.13534919987,"Houston"
"power","2020-02-16",1694.37803835913,"Houston"
"power","2020-03-30",1225.8447235488,"Houston"
"power","2020-03-31",1229.3780280847,"Houston"
"power","2020-04-01",1381.96229332711,"Houston"
"power","2020-04-02",1372.70391658574,"Houston"
"power","2020-04-03",1420.48531263634,"Houston"
"power","2020-04-04",1276.84526932417,"Houston"
"power","2020-04-05",1184.90702763705,"Houston"
"homo","2020-02-10",112.523669542412,"Los Angeles"
"homo","2020-02-11",111.417538337559,"Los Angeles"
"homo","2020-02-12",107.231200589453,"Los Angeles"
"homo","2020-02-13",118.225655302261,"Los Angeles"
"homo","2020-02-14",126.223838909921,"Los Angeles"
"homo","2020-02-15",103.992366968148,"Los Angeles"
"homo","2020-02-16",93.2098173275958,"Los Angeles"
"homo","2020-03-30",51.2791185360439,"Los Angeles"
"homo","2020-03-31",52.1021330563615,"Los Angeles"
"homo","2020-04-01",60.1014249812925,"Los Angeles"
"homo","2020-04-02",60.9165146447339,"Los Angeles"
"homo","2020-04-03",62.6238108621241,"Los Angeles"
"homo","2020-04-04",54.0851922718619,"Los Angeles"
"homo","2020-04-05",46.7560532085331,"Los Angeles"
"exp","2020-02-10",109.638314554049,"Los Angeles"
"exp","2020-02-11",110.73654789355,"Los Angeles"
"exp","2020-02-12",104.320600905532,"Los Angeles"
"exp","2020-02-13",116.011372149914,"Los Angeles"
"exp","2020-02-14",120.347407868366,"Los Angeles"
"exp","2020-02-15",96.7073265932249,"Los Angeles"
"exp","2020-02-16",92.4625540952629,"Los Angeles"
"exp","2020-03-30",49.7333170087876,"Los Angeles"
"exp","2020-03-31",47.5441863841181,"Los Angeles"
"exp","2020-04-01",54.1562751021184,"Los Angeles"
"exp","2020-04-02",60.396111349029,"Los Angeles"
"exp","2020-04-03",56.6096904330001,"Los Angeles"
"exp","2020-04-04",48.9896923471511,"Los Angeles"
"exp","2020-04-05",43.5191389867942,"Los Angeles"
"power","2020-02-10",1012.50780714656,"Los Angeles"
"power","2020-02-11",1048.05305867647,"Los Angeles"
"power","2020-02-12",974.316205415765,"Los Angeles"
"power","2020-02-13",1074.07231438925,"Los Angeles"
"power","2020-02-14",1070.74166121576,"Los Angeles"
"power","2020-02-15",866.882418795397,"Los Angeles"
