"msa","nblock","lag.max","lag","nozero","pop.adj","area.adj","pop","area"
"Philadelphia",4306,36,12,1062988,1447539733,2486354242224.7,6079130,12601192108.2928
"Philadelphia",4306,36,13,1145770,1564387223,2724165893802.55,6079130,12601192108.2928
"Philadelphia",4306,36,14,1202292,1647654924,2930268839623.13,6079130,12601192108.2928
"Philadelphia",4306,36,15,1232762,1700384038,3095962611883.56,6079130,12601192108.2928
"Philadelphia",4306,36,16,1227450,1702623356,3232224286060.86,6079130,12601192108.2928
"Philadelphia",4306,36,17,1194296,1673563674,3324462215545.34,6079130,12601192108.2928
"Philadelphia",4306,36,18,1130576,1601805821,3342098790621.89,6079130,12601192108.2928
"Philadelphia",4306,36,19,1044468,1497597897,3281409319397.01,6079130,12601192108.2928
"Philadelphia",4306,36,20,938570,1362057292,3102175731621.08,6079130,12601192108.2928
"Philadelphia",4306,36,21,808124,1187137362,2838107847139.88,6079130,12601192108.2928
"Philadelphia",4306,36,22,678938,1008992883,2554264242247.75,6079130,12601192108.2928
"Philadelphia",4306,36,23,553858,832153617,2231260520263.48,6079130,12601192108.2928
"Philadelphia",4306,36,24,436612,663825438,1871518525831.95,6079130,12601192108.2928
"Philadelphia",4306,36,25,329582,507961828,1512220745165.24,6079130,12601192108.2928
"Philadelphia",4306,36,26,236994,369835228,1174707909507.56,6079130,12601192108.2928
"Philadelphia",4306,36,27,162654,256678809,856342773563.505,6079130,12601192108.2928
"Philadelphia",4306,36,28,104854,166595058,564680899832.745,6079130,12601192108.2928
"Philadelphia",4306,36,29,64022,101818569,351147466257.535,6079130,12601192108.2928
"Philadelphia",4306,36,30,34218,54154102,175595082585.239,6079130,12601192108.2928
"Philadelphia",4306,36,31,15416,24358869,70593332570.572,6079130,12601192108.2928
"Philadelphia",4306,36,32,5982,9142459,24748726672.4851,6079130,12601192108.2928
"Philadelphia",4306,36,33,1782,2582561,6646453080.98637,6079130,12601192108.2928
"Philadelphia",4306,36,34,330,460289,978615246.535799,6079130,12601192108.2928
"Philadelphia",4306,36,35,46,61417,34286618.7172861,6079130,12601192108.2928
"Philadelphia",4306,36,36,4,5545,990490.503962755,6079130,12601192108.2928
"San Francisco",2903,21,1,18534,31190231,106352454370.443,4701332,8868771896.82383
"San Francisco",2903,21,2,50150,84122089,489562666072.204,4701332,8868771896.82383
"San Francisco",2903,21,3,113346,191699604,1232496516296.54,4701332,8868771896.82383
"San Francisco",2903,21,4,246338,419810495,2071549354711.33,4701332,8868771896.82383
"San Francisco",2903,21,5,480092,804025521,2695999111988.35,4701332,8868771896.82383
"San Francisco",2903,21,6,755636,1238502041,3033280224627.04,4701332,8868771896.82383
