"model","day","error","msa"
"homo","2020-04-05",175.844002571748,"Houston"
"exp","2020-02-10",246.657281995591,"Houston"
"exp","2020-02-11",236.697485906337,"Houston"
"exp","2020-02-12",239.651729317751,"Houston"
"exp","2020-02-13",250.99328249656,"Houston"
"exp","2020-02-14",266.585188647688,"Houston"
"exp","2020-02-15",243.399700148042,"Houston"
"exp","2020-02-16",218.487729578841,"Houston"
"exp","2020-03-30",148.234153419576,"Houston"
"exp","2020-03-31",149.467872825863,"Houston"
"exp","2020-04-01",163.418162782424,"Houston"
"exp","2020-04-02",156.860761988546,"Houston"
"exp","2020-04-03",175.337113737376,"Houston"
"exp","2020-04-04",154.743216674327,"Houston"
"exp","2020-04-05",147.828872584595,"Houston"
"power","2020-02-10",2321.44370446035,"Houston"
"power","2020-02-11",2209.42096290476,"Houston"
"power","2020-02-12",2233.20326613386,"Houston"
"power","2020-02-13",2345.39415618686,"Houston"
"power","2020-02-14",2483.43409675446,"Houston"
"power","2020-02-15",2245.987013501,"Houston"
"power","2020-02-16",2025.5140410278,"Houston"
"power","2020-03-30",1428.53247603795,"Houston"
"power","2020-03-31",1447.55387627566,"Houston"
"power","2020-04-01",1560.76247079303,"Houston"
"power","2020-04-02",1494.16284379437,"Houston"
"power","2020-04-03",1686.42143864454,"Houston"
"power","2020-04-04",1468.46397201273,"Houston"
"power","2020-04-05",1390.82392106842,"Houston"
"homo","2020-02-10",73.1067694234379,"Los Angeles"
"homo","2020-02-11",73.7663971719326,"Los Angeles"
"homo","2020-02-12",74.6770930577589,"Los Angeles"
"homo","2020-02-13",76.6493166330587,"Los Angeles"
"homo","2020-02-14",78.6200560051656,"Los Angeles"
"homo","2020-02-15",71.8437466230246,"Los Angeles"
"homo","2020-02-16",66.5354486717271,"Los Angeles"
"homo","2020-03-30",42.5505749256311,"Los Angeles"
"homo","2020-03-31",42.9937348719244,"Los Angeles"
"homo","2020-04-01",48.945787586364,"Los Angeles"
"homo","2020-04-02",49.371446298968,"Los Angeles"
"homo","2020-04-03",50.690892927848,"Los Angeles"
"homo","2020-04-04",47.903898049217,"Los Angeles"
"homo","2020-04-05",43.8096246106127,"Los Angeles"
"exp","2020-02-10",70.3117851406049,"Los Angeles"
"exp","2020-02-11",70.9418548367029,"Los Angeles"
"exp","2020-02-12",71.8570189293569,"Los Angeles"
"exp","2020-02-13",73.6661557521902,"Los Angeles"
"exp","2020-02-14",76.1092014327708,"Los Angeles"
"exp","2020-02-15",68.4441730080376,"Los Angeles"
"exp","2020-02-16",63.3337771478847,"Los Angeles"
"exp","2020-03-30",40.4760219702133,"Los Angeles"
"exp","2020-03-31",41.5205203225437,"Los Angeles"
"exp","2020-04-01",46.3955462110811,"Los Angeles"
"exp","2020-04-02",47.6302271554512,"Los Angeles"
"exp","2020-04-03",49.0977582476566,"Los Angeles"
"exp","2020-04-04",46.2925384578971,"Los Angeles"
"exp","2020-04-05",42.5713938976666,"Los Angeles"
"power","2020-02-10",820.20091268342,"Los Angeles"
"power","2020-02-11",816.769392719328,"Los Angeles"
"power","2020-02-12",827.7258909183,"Los Angeles"
"power","2020-02-13",849.06731666674,"Los Angeles"
"power","2020-02-14",874.951203820767,"Los Angeles"
"power","2020-02-15",781.661193570555,"Los Angeles"
"power","2020-02-16",723.222236281945,"Los Angeles"
"power","2020-03-30",470.968898235529,"Los Angeles"
"power","2020-03-31",477.381290644952,"Los Angeles"
"power","2020-04-01",517.463054392935,"Los Angeles"
"power","2020-04-02",521.081215998048,"Los Angeles"
"power","2020-04-03",544.346074314979,"Los Angeles"
"power","2020-04-04",509.94032597816,"Los Angeles"
"power","2020-04-05",465.164070089334,"Los Angeles"
"homo","2020-02-10",136.329073445161,"Miami"
"homo","2020-02-11",133.148348740461,"Miami"
"homo","2020-02-12",136.025293947558,"Miami"
"homo","2020-02-13",140.992687750866,"Miami"
"homo","2020-02-14",146.890446461678,"Miami"
"homo","2020-02-15",128.758622683285,"Miami"
"homo","2020-02-16",117.64507588678,"Miami"
"homo","2020-03-30",78.0569302787187,"Miami"
"homo","2020-03-31",77.3285418729379,"Miami"
"homo","2020-04-01",87.2862428803017,"Miami"
"homo","2020-04-02",89.7304975223725,"Miami"
"homo","2020-04-03",88.6035354630645,"Miami"
"homo","2020-04-04",81.1860667934187,"Miami"
"homo","2020-04-05",73.2797663004151,"Miami"
"exp","2020-02-10",132.774441664452,"Miami"
"exp","2020-02-11",130.711229335201,"Miami"
"exp","2020-02-12",130.976677973245,"Miami"
"exp","2020-02-13",136.304222612897,"Miami"
"exp","2020-02-14",139.830738834362,"Miami"
"exp","2020-02-15",126.227509963726,"Miami"
"exp","2020-02-16",114.162059248928,"Miami"
"exp","2020-03-30",71.9053635564681,"Miami"
"exp","2020-03-31",71.815769251259,"Miami"
"exp","2020-04-01",84.9627959700828,"Miami"
"exp","2020-04-02",83.8108084444317,"Miami"
"exp","2020-04-03",87.9595849544766,"Miami"
"exp","2020-04-04",77.6843256937941,"Miami"
"exp","2020-04-05",70.3161309011753,"Miami"
"power","2020-02-10",1413.92827901267,"Miami"
"power","2020-02-11",1369.49877159677,"Miami"
"power","2020-02-12",1367.36516522328,"Miami"
"power","2020-02-13",1419.25548160236,"Miami"
"power","2020-02-14",1472.48323742975,"Miami"
"power","2020-02-15",1309.39682609288,"Miami"
"power","2020-02-16",1191.24733032798,"Miami"
"power","2020-03-30",794.703010930217,"Miami"
"power","2020-03-31",786.666442671071,"Miami"
"power","2020-04-01",913.17779818655,"Miami"
"power","2020-04-02",901.630286437246,"Miami"
"power","2020-04-03",942.104445473168,"Miami"
"power","2020-04-04",827.413743972847,"Miami"
"power","2020-04-05",737.783276313694,"Miami"
"homo","2020-02-10",86.7171243627739,"New York"
"homo","2020-02-11",86.0221078498344,"New York"
"homo","2020-02-12",88.2745888492365,"New York"
"homo","2020-02-13",87.2160043219374,"New York"
"homo","2020-02-14",91.7043449422226,"New York"
"homo","2020-02-15",79.7303646084126,"New York"
"homo","2020-02-16",73.5193691405407,"New York"
"homo","2020-03-30",48.8516138645534,"New York"
"homo","2020-03-31",47.9596865413604,"New York"
"homo","2020-04-01",57.05847975162,"New York"
"homo","2020-04-02",57.3074789166693,"New York"
"homo","2020-04-03",56.0087600751169,"New York"
"homo","2020-04-04",55.3060004195984,"New York"
"homo","2020-04-05",51.5619435279007,"New York"
"exp","2020-02-10",74.6413466867614,"New York"
"exp","2020-02-11",73.9845742386062,"New York"
"exp","2020-02-12",75.3936812073549,"New York"
"exp","2020-02-13",73.9833666726687,"New York"
"exp","2020-02-14",77.1135168167073,"New York"
"exp","2020-02-15",66.6348711474019,"New York"
"exp","2020-02-16",62.8180138275128,"New York"
"exp","2020-03-30",42.398854314514,"New York"
"exp","2020-03-31",41.4344003934023,"New York"
"exp","2020-04-01",50.2944741744268,"New York"
"exp","2020-04-02",51.1975600174447,"New York"
"exp","2020-04-03",49.3029921955123,"New York"
"exp","2020-04-04",48.6404948245967,"New York"
"exp","2020-04-05",45.9607482707359,"New York"
"power","2020-02-10",860.122462960894,"New York"
"power","2020-02-11",849.18206594542,"New York"
"power","2020-02-12",864.323790660926,"New York"
"power","2020-02-13",850.472325854589,"New York"
"power","2020-02-14",886.163039635881,"New York"
