"msa","day","pairs_ratio","corr_value","corr_name"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.145445946961578,"spearman"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.0807496559729656,"pearson_adjusted"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.277289517120893,"spearman_adjusted"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.112695187066547,"log_pearson"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.145445946961578,"log_spearman"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.270989686728455,"log_pearson_adjusted"
"Atlanta",2020-04-04,5.93312302389921e-07,-0.277289526777555,"log_spearman_adjusted"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.0954311966321514,"pearson"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.125173605413398,"spearman"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.0700124761293523,"pearson_adjusted"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.248401073380593,"spearman_adjusted"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.098527206908714,"log_pearson"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.125173605413398,"log_spearman"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.248106583866282,"log_pearson_adjusted"
"Atlanta",2020-04-05,5.93312302389921e-07,-0.248401149279383,"log_spearman_adjusted"
"Boston",2020-02-10,3.42486103198255e-07,-0.0901390921233323,"pearson"
"Boston",2020-02-10,3.42486103198255e-07,-0.119826344679557,"spearman"
"Boston",2020-02-10,3.42486103198255e-07,-0.0836358048830756,"pearson_adjusted"
"Boston",2020-02-10,3.42486103198255e-07,-0.263348240407684,"spearman_adjusted"
"Boston",2020-02-10,3.42486103198255e-07,-0.104994595052392,"log_pearson"
"Boston",2020-02-10,3.42486103198255e-07,-0.119826344679557,"log_spearman"
"Boston",2020-02-10,3.42486103198255e-07,-0.258866655068587,"log_pearson_adjusted"
"Boston",2020-02-10,3.42486103198255e-07,-0.263348205621805,"log_spearman_adjusted"
"Boston",2020-02-11,3.42486103198255e-07,-0.0982001344322058,"pearson"
"Boston",2020-02-11,3.42486103198255e-07,-0.127833337071327,"spearman"
"Boston",2020-02-11,3.42486103198255e-07,-0.0867606554301652,"pearson_adjusted"
"Boston",2020-02-11,3.42486103198255e-07,-0.277704393062733,"spearman_adjusted"
"Boston",2020-02-11,3.42486103198255e-07,-0.112082515525985,"log_pearson"
"Boston",2020-02-11,3.42486103198255e-07,-0.127833337071327,"log_spearman"
"Boston",2020-02-11,3.42486103198255e-07,-0.269563893046149,"log_pearson_adjusted"
"Boston",2020-02-11,3.42486103198255e-07,-0.277704385732865,"log_spearman_adjusted"
"Boston",2020-02-12,3.42486103198255e-07,-0.0928569256335828,"pearson"
"Boston",2020-02-12,3.42486103198255e-07,-0.118026795899857,"spearman"
"Boston",2020-02-12,3.42486103198255e-07,-0.0862305410524189,"pearson_adjusted"
"Boston",2020-02-12,3.42486103198255e-07,-0.260687251388623,"spearman_adjusted"
"Boston",2020-02-12,3.42486103198255e-07,-0.107672863551225,"log_pearson"
"Boston",2020-02-12,3.42486103198255e-07,-0.118026795899857,"log_spearman"
"Boston",2020-02-12,3.42486103198255e-07,-0.253818738521941,"log_pearson_adjusted"
"Boston",2020-02-12,3.42486103198255e-07,-0.260687222777594,"log_spearman_adjusted"
"Boston",2020-02-13,3.42486103198255e-07,-0.101464507870794,"pearson"
"Boston",2020-02-13,3.42486103198255e-07,-0.139606556667484,"spearman"
"Boston",2020-02-13,3.42486103198255e-07,-0.0713992074794092,"pearson_adjusted"
"Boston",2020-02-13,3.42486103198255e-07,-0.271791977704987,"spearman_adjusted"
"Boston",2020-02-13,3.42486103198255e-07,-0.121619922406716,"log_pearson"
"Boston",2020-02-13,3.42486103198255e-07,-0.139606556667484,"log_spearman"
"Boston",2020-02-13,3.42486103198255e-07,-0.255980472288069,"log_pearson_adjusted"
"Boston",2020-02-13,3.42486103198255e-07,-0.271791951320244,"log_spearman_adjusted"
"Boston",2020-02-14,3.42486103198255e-07,-0.103741066250305,"pearson"
"Boston",2020-02-14,3.42486103198255e-07,-0.137450968251566,"spearman"
"Boston",2020-02-14,3.42486103198255e-07,-0.0726259501170182,"pearson_adjusted"
"Boston",2020-02-14,3.42486103198255e-07,-0.259193770554709,"spearman_adjusted"
"Boston",2020-02-14,3.42486103198255e-07,-0.119468681461325,"log_pearson"
"Boston",2020-02-14,3.42486103198255e-07,-0.137450968251566,"log_spearman"
"Boston",2020-02-14,3.42486103198255e-07,-0.246920383921096,"log_pearson_adjusted"
"Boston",2020-02-14,3.42486103198255e-07,-0.259193755667603,"log_spearman_adjusted"
"Boston",2020-02-15,3.42486103198255e-07,-0.110359872990255,"pearson"
"Boston",2020-02-15,3.42486103198255e-07,-0.135399569774936,"spearman"
"Boston",2020-02-15,3.42486103198255e-07,-0.0515003314200146,"pearson_adjusted"
"Boston",2020-02-15,3.42486103198255e-07,-0.234509773562878,"spearman_adjusted"
"Boston",2020-02-15,3.42486103198255e-07,-0.130191391942757,"log_pearson"
"Boston",2020-02-15,3.42486103198255e-07,-0.135399569774936,"log_spearman"
"Boston",2020-02-15,3.42486103198255e-07,-0.226766955115026,"log_pearson_adjusted"
"Boston",2020-02-15,3.42486103198255e-07,-0.234509712086788,"log_spearman_adjusted"
"Boston",2020-02-16,3.42486103198255e-07,-0.102727732636378,"pearson"
"Boston",2020-02-16,3.42486103198255e-07,-0.14679241048318,"spearman"
"Boston",2020-02-16,3.42486103198255e-07,-0.0390935009938868,"pearson_adjusted"
"Boston",2020-02-16,3.42486103198255e-07,-0.232549665442933,"spearman_adjusted"
