"day","empirical","exp"
2020-02-16,1418,24525.4694646711
2020-02-16,21988,94410.3402247592
2020-02-16,19251,33359.3580152064
2020-03-30,340673,50844.9044375797
2020-03-30,9736,25634.3850817122
2020-03-30,74257,72981.3915991962
2020-03-30,7076,24241.3469942319
2020-03-30,43031,74039.481445498
2020-03-30,14887,39681.2306416173
2020-03-30,55579,62699.0630639027
2020-03-30,31520,73156.402960552
2020-03-30,71543,74567.8678924914
2020-03-30,3588,18960.6178702269
2020-03-30,44654,68988.1374031086
2020-03-30,1411,17178.0412105104
2020-03-30,16733,63526.7690644699
2020-03-30,14082,22116.5041731897
2020-03-31,330985,49167.9235962429
2020-03-31,9293,24818.0626294501
2020-03-31,71633,70643.2431542719
2020-03-31,6723,23304.1931742581
2020-03-31,41953,71688.1444862314
2020-03-31,14000,38273.4437836452
2020-03-31,54100,60840.5239165487
2020-03-31,30849,70960.4162110423
2020-03-31,68648,72187.951433326
2020-03-31,3337,18343.6326149374
2020-03-31,43339,66762.5868211691
2020-03-31,1344,16606.8034525226
2020-03-31,16166,61590.8559490888
2020-03-31,13707,21492.8515996366
2020-04-01,395998,56376.6537139957
2020-04-01,10453,28387.6320051913
2020-04-01,82966,82519.9568900114
2020-04-01,7911,26675.9383471129
2020-04-01,48094,83792.6889387083
2020-04-01,15994,43790.6097090919
2020-04-01,63599,71425.1650608417
2020-04-01,35317,83119.6153234033
2020-04-01,78711,84643.3986764723
2020-04-01,4009,21318.5166113147
2020-04-01,51459,78149.6612167972
2020-04-01,1540,19343.5899355298
2020-04-01,18761,72492.7721655856
2020-04-01,16149,24821.5915174181
2020-04-02,397026,57327.9223016535
2020-04-02,10621,28754.1666700732
2020-04-02,83789,83314.8292456634
2020-04-02,7786,27133.5701358404
2020-04-02,48295,84599.2267609673
2020-04-02,16109,44428.9567907128
2020-04-02,63608,72103.422649583
2020-04-02,35824,83814.4321938142
2020-04-02,80146,85462.5501174658
2020-04-02,4200,21794.6999312703
2020-04-02,52593,79020.226327532
2020-04-02,1640,19732.5059294247
2020-04-02,19518,73210.411755556
2020-04-02,16535,25079.3314427412
2020-04-03,416510,60233.4990663739
2020-04-03,11076,30215.602692397
2020-04-03,87668,87487.4147452085
2020-04-03,8250,28460.0461133467
2020-04-03,51117,88726.2632841562
2020-04-03,16866,46643.6323812214
2020-04-03,67023,75665.7164104107
2020-04-03,37350,88081.2555008479
2020-04-03,83869,89729.6107588307
2020-04-03,4406,22930.8061624037
2020-04-03,55473,82926.4092171181
2020-04-03,1736,20758.2812280212
2020-04-03,20524,76889.3691366813
2020-04-03,17427,26345.3174672269
2020-04-04,376796,54481.6244022616
2020-04-04,9900,27454.708065264
2020-04-04,79775,79098.8644016291
2020-04-04,7352,25680.6310636279
2020-04-04,46164,80389.5908655356
2020-04-04,15317,42150.2114571228
2020-04-04,62913,68470.5281279481
2020-04-04,34323,79935.1727134231
2020-04-04,75563,80970.6485301264
2020-04-04,3848,20314.2806120557
2020-04-04,48079,74901.3222878921
2020-04-04,1525,18439.7433662796
2020-04-04,17730,69299.21461552
2020-04-04,15746,24236.2566096095
2020-04-05,345434,50633.6261130665
2020-04-05,9193,25445.4835770542
2020-04-05,74422,73027.5898328629
2020-04-05,7068,23849.8571916107
2020-04-05,42921,74225.5805326543
2020-04-05,14337,39244.901550918
2020-04-05,58004,63055.7437484089
2020-04-05,31137,73792.0584140094
2020-04-05,69820,74900.1101289138
2020-04-05,3577,18877.459823135
2020-04-05,44675,69115.0845031892
2020-04-05,1413,17124.3122719276
2020-04-05,16532,63930.4428866641
2020-04-05,14520,22358.5473761057
