"urban_fips","urban_name","total_population","male_population","female_population","age_under_18","age_65_and_over","white_population","black_population","asian_population","hispanic_population","median_household_income","per_capita_income","poverty_population","total_housing_units","owner_occupied_housing_units","renter_occupied_housing_units","median_home_value","high_school_graduate","bachelors_degree","graduate_or_professional_degree","mean_commute_time","car_commute","public_transit_commute","walk_commute","work_from_home","families_with_children","single_parent_families","broadband_internet"
"88651","Trumann, AR Urban Cluster (2010)",6729,3308,3421,331,42,5917,257,0,222,41077,20203,1429,2937,1569,1122,93700,1533,402,7,2634,2614,0,0,99,1030,209,2069
"88678","Truth or Consequences, NM Urban Cluster (2010)",7248,3573,3675,213,76,6317,44,83,1860,27873,23183,2161,5640,2413,1214,87800,1309,635,16,2076,1880,15,112,93,648,245,2258
"88705","Tuba City, AZ Urban Cluster (2010)",9067,4131,4936,456,81,216,4,31,113,47475,16384,2445,2850,1441,918,53600,1809,403,34,2974,2673,26,259,181,1099,267,754
"88732","Tucson, AZ Urbanized Area (2010)",873164,430628,442536,24437,10093,653316,34215,27517,342535,51536,29100,152673,390478,206877,139464,182500,102836,107412,12097,363657,331650,9802,9491,20414,93686,24552,295472
"85060","Stilwell, OK Urban Cluster (2010)",3847,1748,2099,173,20,1219,8,3,475,26455,13628,1167,1635,529,822,81300,779,234,0,1251,1195,0,40,20,573,217,575
"85087","Stockton, CA Urbanized Area (2010)",391436,193976,197460,15054,2811,189254,38503,75221,178633,54790,23785,68134,127882,60945,57772,272300,60632,28840,1415,148158,142072,2474,1552,5217,49949,11799,93130
"85114","Storm Lake, IA Urban Cluster (2010)",11515,5834,5681,495,113,7486,424,1970,4193,52692,22534,1613,4332,2157,1835,122800,1571,717,45,5510,4680,26,620,179,1543,385,3400
"85168","Story City, IA Urban Cluster (2010)",3105,1409,1696,34,31,2974,12,33,58,72083,33582,172,1504,970,381,141400,549,538,55,1443,1382,17,26,43,386,46,1097
"85195","Strasburg, VA Urban Cluster (2010)",6860,3264,3596,383,79,6183,244,32,299,55299,25629,723,2923,1772,975,200400,1080,690,39,2992,2924,30,29,151,924,202,1944
"85208","Strawberry Plains, TN Urban Cluster (2010)",3637,1806,1831,117,6,3501,0,27,134,47437,20526,455,1604,1021,227,132100,733,173,0,1631,1615,0,16,23,449,32,954
"85222","Streator, IL Urban Cluster (2010)",16846,8393,8453,552,248,15572,477,96,1379,42480,25748,3268,8368,5437,2077,77300,4042,1075,19,7289,6858,22,253,101,1908,430,5564
"85249","Stuarts Draft, VA Urban Cluster (2010)",7658,3569,4089,175,95,7034,306,36,298,64417,27379,753,3204,2195,793,192500,1635,908,77,3728,3678,21,29,44,1051,176,2463
"85276","Sturgeon Bay, WI Urban Cluster (2010)",8144,3974,4170,211,228,7617,186,95,317,57128,36813,717,4845,2632,1445,148400,1746,1210,56,3909,3791,0,71,239,1209,292,3217
"85303","Sturgis, MI Urban Cluster (2010)",12728,6071,6657,362,92,11276,101,1,2900,43186,20585,3079,5549,3003,1926,91000,2376,634,41,5427,5039,90,249,138,1738,487,3772
"85330","Sturgis, SD Urban Cluster (2010)",6750,3241,3509,178,70,6310,91,93,214,43220,26574,509,3432,1950,1175,162600,1301,724,0,3145,2965,0,53,145,735,45,2322
"85357","Stuttgart, AR Urban Cluster (2010)",8739,4023,4716,302,117,5335,3209,8,218,46156,25094,1543,4196,2058,1528,95100,2012,599,74,3694,3478,2,148,98,1062,309,2502
"85390","Sugarmill Woods, FL Urban Cluster (2010)",9813,4656,5157,164,293,9456,115,198,584,53125,31741,1051,5634,4429,402,183400,2277,1596,99,1853,1798,0,55,171,428,0,4277
"85411","Sullivan, IL Urban Cluster (2010)",4630,2239,2391,179,54,4526,54,9,86,55688,26641,561,2177,1390,585,93200,903,353,0,2157,2044,0,85,80,583,99,1630
"85438","Sullivan, IN Urban Cluster (2010)",4516,2244,2272,105,54,4415,0,71,0,43403,21191,699,2303,1118,802,75600,1128,202,0,1941,1853,0,57,11,702,207,1365
"85465","Sullivan, MO Urban Cluster (2010)",9216,4692,4524,446,77,8687,67,16,374,34663,22224,1964,4386,2022,1844,96500,1767,582,32,3405,3260,2,127,92,1156,232,2832
"85492","Sullivan City, TX Urban Cluster (2010)",5057,2148,2909,150,40,4961,0,0,4977,27138,12317,1808,1750,1206,322,54700,467,81,0,1844,1810,0,34,105,644,132,692
"85519","Sulphur, OK Urban Cluster (2010)",4718,2292,2426,264,15,3690,62,0,327,43750,25089,893,2116,943,763,107800,822,369,30,1821,1729,0,92,5,570,154,1067
"85546","Sulphur Springs, TX Urban Cluster (2010)",15009,7171,7838,576,120,12057,2051,103,2265,45690,24104,2686,6625,3063,2748,97100,3160,1411,49,6793,6702,17,28,143,2003,439,4466
"85573","Sultan, WA Urban Cluster (2010)",8246,4205,4041,109,84,7555,11,112,998,75205,35318,421,3569,2604,755,254000,1722,748,24,4221,3960,44,89,225,871,164,2975
"85600","Sumiton, AL Urban Cluster (2010)",4123,1959,2164,170,61,3563,392,18,17,46615,26680,626,1909,1213,452,126300,927,165,23,1621,1580,0,0,64,463,36,1148
"85627","Summersville, WV Urban Cluster (2010)",3199,1520,1679,25,30,2965,44,56,105,35938,26443,545,1655,1031,503,135200,734,361,0,1523,1465,2,41,20,250,81,1097
"85654","Summerville, GA Urban Cluster (2010)",11405,6412,4993,431,53,8570,2151,2,1240,31732,14436,2357,4418,1934,1904,56200,1934,342,0,3578,3439,10,103,42,1261,205,2369
"85681","Summit Park, UT Urban Cluster (2010)",6645,3201,3444,103,86,6077,7,168,688,134375,61842,483,2763,2028,383,711300,453,1759,232,3127,2868,130,39,603,909,172,2223
"85708","Sumter, SC Urbanized Area (2010)",73080,34357,38723,2758,480,34844,33692,930,3528,45523,23721,13787,32834,16985,11671,125500,11758,5962,278,30407,29339,66,626,711,9048,3031,21912
"85762","Sunbury, PA Urban Cluster (2010)",30227,14522,15705,760,296,28250,881,227,1429,50247,27210,3480,13467,7338,5033,136000,8446,3098,225,13516,12442,11,909,892,3253,853,9350
"85775","Sun City Hilton Head, SC Urban Cluster (2010)",13430,5995,7435,30,442,12637,365,143,133,68723,44479,452,7446,6130,452,278100,2030,2783,386,2683,2681,0,2,89,226,137,5901
"85789","Sunnyside, WA Urban Cluster (2010)",18460,9107,9353,1321,84,16346,38,74,15665,44112,16256,3781,5251,2905,1973,135300,1485,272,0,6400,6327,17,17,293,2743,770,4249
"85802","Sunrise Shores, TX Urban Cluster (2010)",3315,1822,1493,99,98,3273,1,0,43,42110,24764,492,1874,1123,190,62500,737,359,0,1094,1045,0,37,97,303,36,983
"85816","Sunset, LA Urban Cluster (2010)",3483,1593,1890,204,44,1625,1778,11,63,37379,21268,1095,1501,787,492,150500,835,199,20,1395,1283,29,30,15,440,215,837
"85843","Superior, AZ Urban Cluster (2010)",2968,1296,1672,15,72,2584,0,40,1994,32961,22243,581,1732,1007,292,88900,684,179,6,1091,1033,0,15,60,195,40,780
"85870","Susanville, CA Urban Cluster (2010)",7616,3933,3683,351,64,6390,242,104,623,52439,28279,1343,3884,1656,1579,186000,1455,511,20,2921,2741,23,150,85,1054,228,2559
"85924","Susquehanna Depot, PA Urban Cluster (2010)",2489,1277,1212,131,30,2439,8,22,3,41902,23806,462,1175,687,304,75900,724,157,23,852,848,0,1,38,328,64,733
"85978","Sutherlin, OR Urban Cluster (2010)",8592,4295,4297,201,85,8194,31,67,446,45464,22421,1444,4048,2415,1275,157400,1632,738,44,3425,3343,0,64,140,999,329,3049
"85033","Stillwater, OK Urban Cluster (2010)",48200,24934,23266,1129,310,37237,2350,3309,2247,32960,21734,14921,21024,6403,11418,183200,3378,5303,1490,21509,18957,277,1653,680,3482,604,14494
"89002","Tunkhannock, PA Urban Cluster (2010)",3391,1646,1745,44,48,3258,58,15,41,48854,28791,280,1591,886,550,156100,889,354,5,1437,1364,27,43,48,412,172,1205
"89029","Tupelo, MS Urban Cluster (2010)",42060,19181,22879,1423,236,21371,18765,434,1677,45974,25213,7810,18691,9197,7072,140200,5260,4883,241,18137,17714,2,189,407,5840,1975,12260
"89056","Tupper Lake, NY Urban Cluster (2010)",4362,2065,2297,93,59,4014,86,17,226,53059,29311,499,2113,1217,690,91900,916,287,0,1934,1854,0,80,73,470,130,1459
"89083","Turlock, CA Urbanized Area (2010)",108306,52155,56151,3764,763,71032,2141,8149,51301,59203,25188,16959,35518,19101,15282,292900,14801,9198,732,44590,41871,365,715,1611,14527,2913,28944
"89110","Tuscaloosa, AL Urbanized Area (2010)",150061,72152,77909,4945,1228,83957,59478,3162,6390,50726,26323,29077,68089,29646,23419,173600,20834,18527,2461,64246,62484,393,803,2118,15846,5249,42713
"89137","Tuscola, IL Urban Cluster (2010)",4849,2542,2307,169,23,4704,6,90,178,56219,35399,409,2375,1396,804,116700,883,628,0,2595,2439,0,156,93,641,129,1694
"89164","Tuskegee, AL Urban Cluster (2010)",8053,3438,4615,200,118,134,7858,23,115,26310,15871,1810,4169,1238,1522,75400,833,655,45,2817,2399,0,394,89,662,360,1647
"89177","Tuttle, OK Urban Cluster (2010)",2659,1260,1399,63,15,2206,0,72,212,86467,34420,106,912,763,96,222300,498,420,0,1402,1402,0,0,29,345,5,693
"89191","Twentynine Palms, CA Urban Cluster (2010)",12656,6476,6180,621,17,8813,1752,632,3503,43268,22418,3400,6005,1668,3382,130700,1445,914,42,5413,5147,36,198,124,1661,372,4212
"89218","Twentynine Palms Base, CA Urban Cluster (2010)",9114,6247,2867,518,0,7344,545,291,2111,44113,18680,627,1842,11,1660,NA,705,409,9,4906,2731,18,1959,503,999,9,1631
"89245","Twin Falls, ID Urban Cluster (2010)",52330,25537,26793,1918,435,47740,635,1244,8768,51367,24143,7573,20561,12553,6884,161000,6898,4114,289,23906,23056,55,417,1258,7121,1517,16328
"89254","Twin Lakes, VA Urban Cluster (2010)",2614,1336,1278,152,5,2143,245,72,38,62241,28698,115,1123,806,181,205700,471,343,19,1207,1111,34,6,82,299,49,877
"89263","Twin Rivers--Hightstown, NJ Urbanized Area (2010)",66253,32089,34164,1966,444,38584,4031,21079,8992,116509,57665,3242,25267,16181,7416,445600,5828,14391,2552,30236,24487,4485,446,2518,9489,1080,21368
"89272","Two Harbors, MN Urban Cluster (2010)",3267,1635,1632,82,20,3186,51,0,46,55906,27461,440,1738,1021,600,150000,645,342,7,1340,1221,0,107,38,443,85,1237
"89299","Tybee Island, GA Urban Cluster (2010)",3234,1746,1488,71,46,3091,75,0,7,81223,46838,332,3543,974,401,5e+05,407,734,159,1199,980,9,139,306,247,0,1303
"89326","Tyler, TX Urbanized Area (2010)",139429,66969,72460,5091,1187,100921,29145,3242,32276,53806,27821,22794,55265,27664,20496,153800,14289,16658,1170,61362,59193,276,579,2738,15903,3684,38905
"89353","Tyrone, PA Urban Cluster (2010)",7978,3949,4029,334,164,7631,84,13,26,43837,24403,1114,3764,2109,1354,99500,2356,708,4,3620,3363,58,123,100,948,256,2727
"89380","Ukiah, CA Urban Cluster (2010)",29366,14244,15122,767,331,23871,287,911,10998,51138,25687,5690,11251,5389,5057,333700,4179,2356,115,11940,10765,53,919,631,3509,885,8710
"89407","Ulysses, KS Urban Cluster (2010)",6090,3179,2911,319,34,5300,3,0,3303,49978,24032,809,2343,1452,598,106600,767,230,50,2577,2503,16,43,85,682,102,1572
"89425","Unadilla, GA Urban Cluster (2010)",2697,1861,836,11,0,755,1735,0,309,33804,12933,434,777,318,266,62600,487,70,0,590,533,0,57,0,161,120,310
"89461","Union, MO Urban Cluster (2010)",9355,4648,4707,447,95,9101,73,52,178,52510,25752,1043,3724,2118,1461,139200,1580,722,11,4547,4313,35,164,172,1451,405,2840
"89488","Union, SC Urban Cluster (2010)",9678,4414,5264,347,103,4942,4254,0,190,34109,20673,2930,5014,2228,1950,70800,1927,659,34,3568,3493,11,34,79,1384,518,2802
