"msa_fips","msa_name","total_commute","drive_alone","carpool","public_transit","bicycle","walk","other_means","work_at_home"
"21120","Elk City, OK Micro Area",8551,7910,7206,100,0,224,105,212
"21140","Elkhart-Goshen, IN Metro Area",94790,87094,73822,265,1101,1594,1192,3544
"21180","Elkins, WV Micro Area",11096,10132,8941,21,22,391,224,306
"21220","Elko, NV Micro Area",26713,20635,16954,3539,132,1243,248,916
"21260","Ellensburg, WA Micro Area",21851,17843,16086,340,116,2193,339,1020
"21300","Elmira, NY Metro Area",36723,33451,30197,804,176,1244,253,795
"21340","El Paso, TX Metro Area",363145,331489,293093,4982,522,5839,7634,12679
"21380","Emporia, KS Micro Area",17892,16287,14091,89,78,565,181,692
"21420","Enid, OK Metro Area",28852,26914,23588,91,127,315,581,824
"21460","Enterprise, AL Micro Area",22345,21202,19450,4,115,188,269,567
"21500","Erie, PA Metro Area",124756,111947,98665,2302,426,4383,1042,4656
"21540","Escanaba, MI Micro Area",15266,13925,12475,131,30,425,242,513
"21580","Española, NM Micro Area",14015,13014,12061,121,19,124,197,540
"22620","Forrest City, AR Micro Area",8390,7636,6927,1,17,119,188,429
"21640","Eufaula, AL-GA Micro Area",9028,8489,7392,27,9,227,136,140
"21660","Eugene-Springfield, OR Metro Area",170333,139330,120511,4957,5568,8071,2054,10353
"21700","Eureka-Arcata, CA Micro Area",59460,48758,42418,1063,821,3809,754,4255
"21740","Evanston, WY Micro Area",9155,8478,6946,302,15,90,75,195
"21780","Evansville, IN-KY Metro Area",149868,140005,129575,1585,150,2937,1608,3583
"21820","Fairbanks, AK Metro Area",51000,45537,37883,457,466,1772,905,1863
"21840","Fairfield, IA Micro Area",8931,7052,5889,5,73,709,168,924
"21860","Fairmont, MN Micro Area",9727,8534,7799,40,39,306,95,713
"21900","Fairmont, WV Micro Area",24369,22522,20264,84,6,618,163,976
"21980","Fallon, NV Micro Area",10343,9395,8377,81,73,335,64,395
"22820","Fort Morgan, CO Micro Area",13327,12204,9878,11,2,371,159,580
"22840","Fort Payne, AL Micro Area",29311,27904,24674,51,11,350,115,880
"22860","Fort Polk South, LA Micro Area",21245,19836,18186,11,98,682,365,253
"22900","Fort Smith, AR-OK Metro Area",104673,98320,87713,292,81,1838,1280,2862
"22020","Fargo, ND-MN Metro Area",136760,124122,112363,1052,665,3798,1076,6047
"22060","Faribault-Northfield, MN Micro Area",33362,26995,24329,101,121,931,329,4885
"22100","Farmington, MO Micro Area",26979,25722,22524,0,0,350,188,719
"22140","Farmington, NM Metro Area",49071,46204,41205,163,25,843,284,1552
"22180","Fayetteville, NC Metro Area",230278,208429,187187,925,236,9750,3168,7770
"22220","Fayetteville-Springdale-Rogers, AR Metro Area",245135,227754,201053,895,882,3805,1392,10407
"22260","Fergus Falls, MN Micro Area",28092,24224,21526,336,70,1258,255,1949
"22280","Fernley, NV Micro Area",22302,20777,17694,209,52,276,246,742
"22300","Findlay, OH Micro Area",37800,35596,32079,137,146,533,231,1157
"22340","Fitzgerald, GA Micro Area",6133,5913,5433,0,12,0,162,46
"22380","Flagstaff, AZ Metro Area",65367,52796,45014,1059,1271,5878,902,3461
"22420","Flint, MI Metro Area",169036,157325,141611,2449,227,1830,945,6260
"22500","Florence, SC Metro Area",86345,80824,73621,225,156,900,954,3286
"22520","Florence-Muscle Shoals, AL Metro Area",62208,59676,55245,25,92,656,383,1376
"22540","Fond du Lac, WI Metro Area",53174,48423,44283,115,262,1715,448,2211
"22580","Forest City, NC Micro Area",26394,24771,21757,44,30,419,348,782
"22780","Fort Leonard Wood, MO Micro Area",28437,18982,17141,120,93,4382,220,4640
"22800","Fort Madison-Keokuk, IA-IL-MO Micro Area",26566,24297,22325,81,67,638,406,1077
"23060","Fort Wayne, IN Metro Area",196193,182238,164647,1335,504,2705,1186,8225
"23140","Frankfort, IN Micro Area",14633,13261,11835,12,38,233,324,765
"23180","Frankfort, KY Micro Area",34569,32541,28722,131,31,597,197,1072
"23240","Fredericksburg, TX Micro Area",11937,10558,8624,26,51,413,78,811
"23300","Freeport, IL Micro Area",20654,18385,16059,181,47,570,340,1131
"23340","Fremont, NE Micro Area",18056,16982,14919,22,139,388,97,428
"23380","Fremont, OH Micro Area",27835,26329,24120,129,74,454,113,736
"23420","Fresno, CA Metro Area",395689,358839,310668,4408,1951,6363,6127,18001
"23460","Gadsden, AL Metro Area",41552,39472,36088,37,37,414,296,1296
"23500","Gaffney, SC Micro Area",22732,22058,19252,36,0,119,198,321
"23540","Gainesville, FL Metro Area",145070,124058,108537,4389,2764,4089,2415,7355
"23580","Gainesville, GA Metro Area",92200,85075,74335,246,83,1023,1579,4194
"23620","Gainesville, TX Micro Area",18985,17396,14467,20,23,268,183,1095
"23660","Galesburg, IL Micro Area",20906,18817,16876,91,86,981,257,674
"23700","Gallup, NM Micro Area",23319,19532,17083,261,25,1001,284,2216
"23780","Garden City, KS Micro Area",20007,18732,16247,111,77,240,79,768
"23820","Gardnerville Ranchos, NV Micro Area",20908,18434,16111,56,80,328,244,1766
"23860","Georgetown, SC Micro Area",24640,22051,19841,187,21,394,285,1702
"23900","Gettysburg, PA Metro Area",49843,45399,40845,203,154,1810,259,2018
"23940","Gillette, WY Micro Area",30679,26470,23621,914,77,755,311,2152
"23980","Glasgow, KY Micro Area",21967,20470,18081,37,4,314,204,938
"24020","Glens Falls, NY Metro Area",59763,54141,48979,477,281,1755,525,2584
"24060","Glenwood Springs, CO Micro Area",42702,31813,27648,3513,981,2223,494,3678
"24100","Gloversville, NY Micro Area",24040,22259,20224,120,23,530,644,464
