"msa_fips","msa_name","total_commute","under_5_mins","mins_5_to_9","mins_10_to_14","mins_15_to_19","mins_20_to_24","mins_25_to_29","mins_30_to_34","mins_35_to_39","mins_40_to_44","over_60_mins"
"21580","Española, NM Micro Area",13475,645,1551,1579,993,968,315,2444,437,1250,2153
"22620","Forrest City, AR Micro Area",7961,392,1577,1671,1393,567,183,823,306,74,537
"21640","Eufaula, AL-GA Micro Area",8888,641,1457,1660,1265,918,360,892,246,134,546
"21660","Eugene-Springfield, OR Metro Area",159980,5353,20840,33390,33822,25539,9693,14207,2936,2568,3929
"21700","Eureka-Arcata, CA Micro Area",55205,3670,11340,10432,9119,7593,2626,4741,430,1006,1984
"21740","Evanston, WY Micro Area",8960,1064,2152,2184,703,514,12,200,184,330,662
"21780","Evansville, IN-KY Metro Area",146285,4749,18250,24704,29206,24380,10509,15447,3609,3890,6312
"21820","Fairbanks, AK Metro Area",49137,2220,7158,9708,10165,6740,4260,4731,579,793,1367
"21840","Fairfield, IA Micro Area",8007,933,1570,2245,1430,552,398,456,42,100,94
"21860","Fairmont, MN Micro Area",9014,688,2798,1406,1395,995,530,510,107,55,178
"21900","Fairmont, WV Micro Area",23393,871,2776,2929,2989,3576,2183,3695,884,883,1454
"21980","Fallon, NV Micro Area",9948,587,2501,1914,1419,1083,178,632,70,217,429
"22820","Fort Morgan, CO Micro Area",12747,1221,3300,2953,1623,1170,216,585,94,145,475
"22840","Fort Payne, AL Micro Area",28431,1195,2721,4204,4848,4315,1994,3716,677,660,2124
"22860","Fort Polk South, LA Micro Area",20992,1138,3580,3457,3984,2917,1343,1872,413,457,627
"22900","Fort Smith, AR-OK Metro Area",101811,4078,13457,18301,18118,16614,6511,11009,2230,2408,4964
"22020","Fargo, ND-MN Metro Area",130713,4750,19399,31345,34746,20064,5200,6734,1076,1275,2609
"22060","Faribault-Northfield, MN Micro Area",28477,1707,4996,4430,3246,3263,1689,2486,1088,1023,2462
"22100","Farmington, MO Micro Area",26260,1198,4595,4223,4616,3256,1024,1562,497,484,1320
"22140","Farmington, NM Metro Area",47519,1775,6235,7868,8016,6593,2186,6145,1236,1112,2732
"22180","Fayetteville, NC Metro Area",222508,9925,22078,27961,37464,35927,15943,31475,6580,6656,14642
"22220","Fayetteville-Springdale-Rogers, AR Metro Area",234728,7815,26706,43708,45074,36680,16356,27276,5662,6547,11390
